Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	2/11	8.247165e-07	2.655587e-04	0	0	4.441778e+03	6.222143e+04	TP53;EGFR
GO_Biological_Process_2021	regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	2/18	2.293706e-06	3.692867e-04	0	0	2.497625e+03	3.243251e+04	TP53;EGFR
GO_Biological_Process_2021	positive regulation of gene silencing by miRNA (GO:2000637)	2/27	5.260504e-06	5.646274e-04	0	0	1.597760e+03	1.942123e+04	TP53;EGFR
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	3/437	1.036108e-05	6.044271e-04	0	0	5.868900e+04	6.736003e+05	BRCA1;TP53;EGFR
GO_Biological_Process_2021	positive regulation of gene expression (GO:0010628)	3/482	1.391178e-05	6.044271e-04	0	0	5.855400e+04	6.547962e+05	BRCA1;TP53;EGFR
GO_Biological_Process_2021	positive regulation of RNA metabolic process (GO:0051254)	2/45	1.482858e-05	6.044271e-04	0	0	9.280930e+02	1.031942e+04	TP53;EGFR
GO_Biological_Process_2021	regulation of DNA repair (GO:0006282)	2/45	1.482858e-05	6.044271e-04	0	0	9.280930e+02	1.031942e+04	BRCA1;EGFR
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	3/511	1.658284e-05	6.044271e-04	0	0	5.846700e+04	6.435546e+05	BRCA1;TP53;EGFR
GO_Biological_Process_2021	positive regulation of DNA repair (GO:0045739)	2/48	1.689392e-05	6.044271e-04	0	0	8.674348e+02	9.531856e+03	BRCA1;EGFR
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	2/51	1.909364e-05	6.148151e-04	0	0	8.142041e+02	8.847268e+03	BRCA1;TP53
GO_Biological_Process_2021	positive regulation of response to DNA damage stimulus (GO:2001022)	2/55	2.223554e-05	6.344922e-04	0	0	7.526038e+02	8.063260e+03	BRCA1;EGFR
GO_Biological_Process_2021	regulation of reactive oxygen species metabolic process (GO:2000377)	2/57	2.389601e-05	6.344922e-04	0	0	7.251636e+02	7.717046e+03	BRCA1;TP53
