gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc,id
NRBP1,4.26E-07,1.60E-06,0.034653,1,1.258,6,HGLibB_32610;HGLibB_32611;HGLibB_32612;HGLibA_32654;HGLibA_32656;HGLibA_32655;,1.4702;0.8864;0.89728;2.3284;1.6384;1.0458;,29959
WDR70,5.71E-06,1.94E-05,0.162129,2,1.2807,5,HGLibB_54097;HGLibB_54096;HGLibB_54098;HGLibA_54164;HGLibA_54163;,1.1515;0.84746;2.1013;3.6577;1.41;,55100
PKD1,1.04E-05,2.26E-05,0.162129,3,0.95806,4,HGLibB_36742;HGLibB_36741;HGLibA_36790;HGLibA_36788;,5.6958;1.815;1.5128;0.4033;,5310
SLC29A3,1.21E-05,2.99E-05,0.162129,4,1.3817,6,HGLibA_44846;HGLibB_44794;HGLibB_44792;HGLibA_44845;HGLibA_44847;HGLibB_44793;,2.1569;2.198;1.6742;1.0893;0.52573;0.26384;,55315
hsa-mir-3194,1.67E-05,4.68E-05,0.20297,5,1.0496,4,HGLibA_58873;HGLibA_58874;HGLibA_58872;HGLibA_58875;,5.2829;1.4708;0.6283;0.037175;,100422889
CHEK1,3.11E-05,0.00014443,0.335573,6,1.2212,6,HGLibA_09418;HGLibA_09420;HGLibA_09419;HGLibB_09412;HGLibB_09411;HGLibB_09410;,5.7714;2.211;0.80205;1.4411;1.0013;0.15805;,1111
ETV3L,3.80E-05,0.00015766,0.335573,7,0.80876,4,HGLibA_15656;HGLibB_15633;HGLibB_15634;HGLibA_15657;,2.3252;1.5905;0.89649;0.72102;,440695
PKMYT1,4.28E-05,0.00016496,0.335573,8,1.3887,5,HGLibB_36786;HGLibA_36833;HGLibA_36834;HGLibB_36787;HGLibB_36788;,1.603;1.4982;1.6021;0.69593;1.2791;,9088
TAF3,4.50E-05,0.00016861,0.335573,9,0.96097,5,HGLibB_48171;HGLibA_48231;HGLibB_48172;HGLibA_48232;HGLibB_48173;,1.1926;0.97479;2.8902;0.94714;0.65405;,83860
HCRTR1,5.32E-05,0.00018459,0.335573,10,0.72222,4,HGLibA_20989;HGLibB_20961;HGLibB_20959;HGLibB_20960;,2.7731;1.539;1.1073;0.33711;,3061
CLDN9,5.46E-05,0.00018687,0.335573,11,0.75502,6,HGLibB_09904;HGLibB_09905;HGLibA_09912;HGLibB_09903;HGLibA_09914;HGLibA_09913;,1.2002;1.3611;0.814;0.5705;0.69604;0.54767;,9080
CEBPZ,7.98E-05,0.00021653,0.335573,14,1.1962,6,HGLibA_08971;HGLibB_08963;HGLibB_08964;HGLibA_08972;HGLibA_08970;HGLibB_08965;,1.6258;1.8338;0.76653;2.0637;0.66805;0.3421;,1649
hsa-mir-302f,0.00013961,0.00028543,0.412871,25,2.0858,2,HGLibA_58457;HGLibA_58456;,2.0858;4.1323;,100302131
GTPBP4,0.00010387,0.00034658,0.440404,16,0.78316,4,HGLibA_20611;HGLibB_20583;HGLibB_20582;HGLibB_20581;,2.5201;1.679;0.94168;0.62463;,23560
NPIPA5,0.00028806,0.0004383,0.440404,42,0.8216,3,HGLibB_32429;HGLibB_32428;HGLibA_32473;,3.0988;0.8216;0.4911;,100288332
CDK7,0.00011016,0.00045793,0.440404,17,0.93021,6,HGLibB_08788;HGLibA_08795;HGLibB_08787;HGLibB_08786;HGLibA_08793;HGLibA_08794;,1.6686;0.97654;0.93166;0.92877;0.4716;0.59368;,1022
SMPD4,0.0001208,0.00048257,0.440404,18,0.91862,6,HGLibA_45812;HGLibB_45757;HGLibA_45813;HGLibB_45756;HGLibA_45811;HGLibB_45758;,0.69829;0.88826;0.94897;1.1604;1.4308;0.31524;,55627
MRPL16,0.00012544,0.00048485,0.440404,19,1.3308,5,HGLibA_29908;HGLibA_29909;HGLibB_29869;HGLibB_29867;HGLibB_29868;,2.0754;2.5017;2.8107;0.58629;0.15578;,54948
SPCS3,0.00012776,0.00049672,0.440404,21,1.0916,6,HGLibB_46509;HGLibA_46564;HGLibB_46507;HGLibA_46565;HGLibA_46563;HGLibB_46508;,1.5574;1.8752;0.65347;1.5298;0.35417;0.15453;,60559
