ID,Description,NES,pvalue,p.adjust,geneID,geneName,Count
REACTOME_156902,Peptide chain elongation,-3.030023492,1.00E-10,4.58E-08,6202/6154/140032/6139/6144/6210/6125/25873/6168/6123/6129/9349/6147/6128/6132/6124/6176/6175/6133/6193/6191/6135/6234/6169/6167/6136/6130/6134/6181/6171/6143/6203/6122/23521/6152/6138/6161/6137,RPS8/RPL26/RPS4Y2/RPL17/RPL21/RPS15A/RPL5/RPL36/RPL37A/RPL3L/RPL7/RPL23/RPL23A/RPL6/RPL8/RPL4/RPLP1/RPLP0/RPL9/RPS5/RPS4X/RPL11/RPS28/RPL38/RPL37/RPL12/RPL7A/RPL10/RPLP2/RPL41/RPL19/RPS9/RPL3/RPL13A/RPL24/RPL15/RPL32/RPL13,38
REACTOME_192823,Viral mRNA Translation,-3.02147365,1.00E-10,4.58E-08,6202/6154/140032/6139/6144/6210/6125/25873/6168/6123/6129/9349/6147/6128/6132/6124/6176/6175/6133/6193/6191/6135/6234/6169/6167/6136/6130/6134/6181/6171/6143/6203/6122/23521/6152/6138/6161/6137,RPS8/RPL26/RPS4Y2/RPL17/RPL21/RPS15A/RPL5/RPL36/RPL37A/RPL3L/RPL7/RPL23/RPL23A/RPL6/RPL8/RPL4/RPLP1/RPLP0/RPL9/RPS5/RPS4X/RPL11/RPS28/RPL38/RPL37/RPL12/RPL7A/RPL10/RPLP2/RPL41/RPL19/RPS9/RPL3/RPL13A/RPL24/RPL15/RPL32/RPL13,38
REACTOME_72764,Eukaryotic Translation Termination,-3.016176587,1.00E-10,4.58E-08,6202/6154/140032/6139/6144/6210/6125/25873/6168/6123/6129/9349/6147/6128/6132/6124/6176/6175/6133/2935/6193/6191/6135/6234/6169/6167/6136/6130/6134/6181/6171/6143/6203/6122/23521/6152/6138/6161/6137,RPS8/RPL26/RPS4Y2/RPL17/RPL21/RPS15A/RPL5/RPL36/RPL37A/RPL3L/RPL7/RPL23/RPL23A/RPL6/RPL8/RPL4/RPLP1/RPLP0/RPL9/GSPT1/RPS5/RPS4X/RPL11/RPS28/RPL38/RPL37/RPL12/RPL7A/RPL10/RPLP2/RPL41/RPL19/RPS9/RPL3/RPL13A/RPL24/RPL15/RPL32/RPL13,39
REACTOME_975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),-2.990630486,1.00E-10,4.58E-08,6146/1981/6202/6154/140032/6139/6144/6210/6125/25873/6168/6123/6129/9349/6147/6128/6132/6124/6176/6175/6133/2935/6193/6191/6135/6234/6169/6167/6136/6130/6134/6181/6171/6143/6203/6122/23521/6152/6138/6161/6137,RPL22/EIF4G1/RPS8/RPL26/RPS4Y2/RPL17/RPL21/RPS15A/RPL5/RPL36/RPL37A/RPL3L/RPL7/RPL23/RPL23A/RPL6/RPL8/RPL4/RPLP1/RPLP0/RPL9/GSPT1/RPS5/RPS4X/RPL11/RPS28/RPL38/RPL37/RPL12/RPL7A/RPL10/RPLP2/RPL41/RPL19/RPS9/RPL3/RPL13A/RPL24/RPL15/RPL32/RPL13,41
REACTOME_2408557,Selenocysteine synthesis,-2.964832972,1.00E-10,4.58E-08,140032/6139/6144/6210/6125/25873/6168/6123/6129/9349/6147/51091/6128/6132/6124/6176/6175/6133/6193/6191/6135/6234/6169/6167/6136/6130/6134/6181/6171/6143/6203/6122/23521/6152/6138/6161/6137,RPS4Y2/RPL17/RPL21/RPS15A/RPL5/RPL36/RPL37A/RPL3L/RPL7/RPL23/RPL23A/SEPSECS/RPL6/RPL8/RPL4/RPLP1/RPLP0/RPL9/RPS5/RPS4X/RPL11/RPS28/RPL38/RPL37/RPL12/RPL7A/RPL10/RPLP2/RPL41/RPL19/RPS9/RPL3/RPL13A/RPL24/RPL15/RPL32/RPL13,37
REACTOME_8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,-2.472962948,1.24E-09,4.75E-07,5701/63943/7316/9133/5704/5713/5706/5717/347688/84790/10383/51512/7277/10376/5707/5692/5683/10381/9491/5715/1026/5693/3326/5690/5687/5686/5708/5709/10213,PSMC2/FKBPL/UBC/CCNB2/PSMC4/PSMD7/PSMC6/PSMD11/TUBB8/TUBA1C/TUBB4B/GTSE1/TUBA4A/TUBA1B/PSMD1/PSMB4/PSMA2/TUBB3/PSMF1/PSMD9/CDKN1A/PSMB5/HSP90AB1/PSMB2/PSMA6/PSMA5/PSMD2/PSMD3/PSMD14,29
REACTOME_9604323,Negative regulation of NOTCH4 signaling,-2.482836443,2.06E-09,6.74E-07,5701/7316/5704/5713/5706/5717/10460/8454/207/9978/5707/5692/5683/9491/5715/5693/5690/5687/5686/5708/5709/10213,PSMC2/UBC/PSMC4/PSMD7/PSMC6/PSMD11/TACC3/CUL1/AKT1/RBX1/PSMD1/PSMB4/PSMA2/PSMF1/PSMD9/PSMB5/PSMB2/PSMA6/PSMA5/PSMD2/PSMD3/PSMD14,22
REACTOME_174113,SCF-beta-TrCP mediated degradation of Emi1,-2.478585684,5.66E-09,1.53E-06,5701/7316/5704/26271/5713/5706/5717/8454/5707/51343/5692/5683/9491/5715/5693/5690/5687/5686/991/5708/5709/10213,PSMC2/UBC/PSMC4/FBXO5/PSMD7/PSMC6/PSMD11/CUL1/PSMD1/FZR1/PSMB4/PSMA2/PSMF1/PSMD9/PSMB5/PSMB2/PSMA6/PSMA5/CDC20/PSMD2/PSMD3/PSMD14,22
REACTOME_5610783,Degradation of GLI2 by the proteasome,-2.45713454,6.01E-09,1.53E-06,5701/5567/7316/5704/51684/5713/5706/5717/1452/8454/9978/5707/5692/5683/9491/5715/5693/5690/5687/5686/5708/5709/10213,PSMC2/PRKACB/UBC/PSMC4/SUFU/PSMD7/PSMC6/PSMD11/CSNK1A1/CUL1/RBX1/PSMD1/PSMB4/PSMA2/PSMF1/PSMD9/PSMB5/PSMB2/PSMA6/PSMA5/PSMD2/PSMD3/PSMD14,23
REACTOME_8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,-2.422077862,1.34E-08,3.06E-06,5701/7316/5704/5713/5706/5717/8454/9978/5707/5692/5683/9491/5715/6790/5693/5690/5687/5686/5708/5709/10213,PSMC2/UBC/PSMC4/PSMD7/PSMC6/PSMD11/CUL1/RBX1/PSMD1/PSMB4/PSMA2/PSMF1/PSMD9/AURKA/PSMB5/PSMB2/PSMA6/PSMA5/PSMD2/PSMD3/PSMD14,21
