ID,Description,NES,pvalue,p.adjust,geneID,geneName,Count
REACTOME_76061,RNA Polymerase III Transcription Initiation From Type 1 Promoter,2.1237729223941937,4.303589084843708e-6,0.009118709888837812,2972/27297/51728/171568/10623/9328/55703/11128/55718/55814/2975/5435/2976/9330/661/9533/2971,BRF1/CRCP/POLR3K/POLR3H/POLR3C/GTF3C5/POLR3B/POLR3A/POLR3E/BDP1/GTF3C1/POLR2F/GTF3C2/GTF3C3/POLR3D/POLR1C/GTF3A,17
REACTOME_3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,-2.109039043167398,7.970900252480605e-6,0.009118709888837812,112714/1780/11258/4306/1778/84790/55860/7846/347688/7277/10121/51143/2289/3305/10728/55466/10540/2288/5241/3326/10963/10381/1783,TUBA3E/DYNC1I1/DCTN3/NR3C2/DYNC1H1/TUBA1C/ACTR10/TUBA1A/TUBB8/TUBA4A/ACTR1A/DYNC1LI1/FKBP5/HSPA1L/PTGES3/DNAJA4/DCTN2/FKBP4/PGR/HSP90AB1/STIP1/TUBB3/DYNC1LI2,23
REACTOME_76066,RNA Polymerase III Transcription Initiation From Type 2 Promoter,2.093514338731234,2.186403929795658e-5,0.01667497397124155,2972/27297/51728/171568/10623/9328/55703/11128/55718/55814/2975/5435/2976/9330,BRF1/CRCP/POLR3K/POLR3H/POLR3C/GTF3C5/POLR3B/POLR3A/POLR3E/BDP1/GTF3C1/POLR2F/GTF3C2/GTF3C3,14
PID_HIF2PATHWAY,HIF2PATHWAY,-2.147936623212456,4.086322818600626e-5,0.02135897922152553,6667/112399/8553/2033/405/6921/3791/7291/135/23411/2321/2002/112398/4891/10370/2395/2056/7422,SP1/EGLN3/BHLHE40/EP300/ARNT/ELOC/KDR/TWIST1/ADORA2A/SIRT1/FLT1/ELK1/EGLN2/SLC11A2/CITED2/FXN/EPO/VEGFA,18
REACTOME_379716,Cytosolic tRNA aminoacylation,2.0233406734244865,4.6676090956130965e-5,0.02135897922152553,8565/3035/3376/1615/7453/2193/6301/2617/16/2058/833,YARS1/HARS1/IARS1/DARS1/WARS1/FARSA/SARS1/GARS1/AARS1/EPRS1/CARS1,11
REACTOME_2168880,Scavenging of heme from plasma,-2.2169615644704206,2.3433120859812882e-4,0.07203502439547345,8542/3512/3039/335/9332/4035/213,APOL1/JCHAIN/HBA1/APOA1/CD163/LRP1/ALB,7
REACTOME_9707616,Heme signaling,-1.9704760291241123,2.436688917057298e-4,0.07203502439547345,6604/10891/64784/8204/200186/51266/4209/406/2033/113235/5465/9611/10743/10499/9572/3039/23411/335/85441/6256/8841/3162/23373/10498/9575/4862,SMARCD3/PPARGC1A/CRTC3/NRIP1/CRTC2/CLEC1B/MEF2D/ARNTL/EP300/SLC46A1/PPARA/NCOR1/RAI1/NCOA2/NR1D1/HBA1/SIRT1/APOA1/HELZ2/RXRA/HDAC3/HMOX1/CRTC1/CARM1/CLOCK/NPAS2,26
REACTOME_72764,Eukaryotic Translation Termination,-1.7678008138972592,2.9561607380560964e-4,0.07203502439547345,6152/6228/6132/327/6202/6224/140801/6234/6217/25873/6161/6193/3921/6123/6181/6191/6144/51504/6137/6187/6143/6122/6171/6138/6209/6205,RPL24/RPS23/RPL8/APEH/RPS8/RPS20/RPL10L/RPS28/RPS16/RPL36/RPL32/RPS5/RPSA/RPL3L/RPLP2/RPS4X/RPL21/TRMT112/RPL13/RPS2/RPL19/RPL3/RPL41/RPL15/RPS15/RPS11,26
REACTOME_1268020,Mitochondrial protein import,1.8015521560099312,3.684530869832422e-4,0.07203502439547345,80273/3329/10651/26517/388753/5009/54543/9868/10531/617/400916/25813/29928/84269/29090/10165/3313/10469/51142/23203/51287/7416,GRPEL1/HSPD1/MTX2/TIMM13/COA6/OTC/TOMM7/TOMM70/PITRM1/BCS1L/CHCHD10/SAMM50/TIMM22/CHCHD5/TIMM21/SLC25A13/HSPA9/TIMM44/CHCHD2/PMPCA/COA4/VDAC1,22
REACTOME_749476,RNA Polymerase III Abortive And Retractive Initiation,1.8648654033349796,4.209113020470196e-4,0.07203502439547345,2972/27297/51728/171568/10623/9328/55703/11128/55718/55814/2975/5435/2976/9330/6617/4782/661/9533/2971,BRF1/CRCP/POLR3K/POLR3H/POLR3C/GTF3C5/POLR3B/POLR3A/POLR3E/BDP1/GTF3C1/POLR2F/GTF3C2/GTF3C3/SNAPC1/NFIC/POLR3D/POLR1C/GTF3A,19
