id,neg|score,neg|p-value,neg|fdr,neg|rank,neg|lfc,neg|goodsgrnacount,neg|goodsgrnaid,neg|goodsgrnalfc
ZIM2,0.047368,0.058793,1,2873,-3.0648,1,HGLibB_55271;,-3.0648;
HIST2H4B,0.0073902,0.017831,1,679,-2.4553,1,HGLibB_21525;,-2.4553;
hsa-mir-5001,0.011646,0.069511,1,965,-2.3522,3,HGLibA_61412;HGLibA_61410;HGLibA_61411;,-3.008;-2.4178;-2.2867;
hsa-mir-4679-1,0.081116,0.092924,1,4281,-2.3082,1,HGLibA_60831;,-2.3082;
hsa-mir-548i-3,0.023517,0.064571,1,1702,-1.8187,2,HGLibA_62020;HGLibA_62021;,-3.367;-0.27035;
hsa-mir-4492,0.013349,0.074372,1,1071,-1.7047,3,HGLibA_60387;HGLibA_60388;HGLibA_60386;,-1.8659;-2.8819;-1.5436;
ZNF816-ZNF321P,0.019765,0.05852,1,1489,-1.684,2,HGLibA_56814;HGLibA_56815;,-1.3139;-2.054;
PPIAL4C,0.0070552,0.017831,1,649,-1.6274,1,HGLibB_37855;,-1.6274;
hsa-mir-6088,0.0046018,0.031439,1,447,-1.4858,3,HGLibA_62610;HGLibA_62612;HGLibA_62611;,-1.3173;-1.6543;-1.9538;
RPS11,0.0047053,0.056829,1,457,-1.4806,4,HGLibB_42011;HGLibA_42064;HGLibA_42065;HGLibB_42013;,-1.3313;-2.3098;-1.9813;-1.6299;
hsa-mir-6501,0.0028357,0.03348,1,293,-1.4717,4,HGLibA_62854;HGLibA_62855;HGLibA_62856;HGLibA_62857;,-1.8218;-1.1215;-3.9715;-0.67631;
hsa-mir-5100,0.0048007,0.038839,1,467,-1.4704,3,HGLibA_61552;HGLibA_61551;HGLibA_61549;,-3.7241;-0.95849;-1.9824;
MYCL1,0.011154,0.044744,1,930,-1.4622,2,HGLibB_30635;HGLibB_30634;,-0.9151;-2.0094;
hsa-mir-6826,0.0014518,0.01504,1,169,-1.4496,4,HGLibA_63480;HGLibA_63482;HGLibA_63481;HGLibA_63483;,-1.6626;-1.2624;-1.6368;-0.32056;
FAM86C1,0.0040492,0.04691,1,400,-1.4431,5,HGLibA_16780;HGLibB_16755;HGLibB_16757;HGLibA_16779;HGLibA_16778;,-1.594;-2.2671;-1.4431;-0.21653;-0.40024;
hsa-mir-663b,0.062189,0.19145,1,3521,-1.4255,3,HGLibA_62990;HGLibA_62989;HGLibA_62991;,-2.3356;-2.1376;-0.71334;
VEGFA,0.00027632,0.0034058,1,40,-1.4146,5,HGLibB_53545;HGLibB_53546;HGLibA_53611;HGLibA_53612;HGLibB_53544;,-1.5486;-1.5587;-1.3815;-1.4476;-0.49186;
hsa-mir-638,0.012796,0.071881,1,1033,-1.4112,4,HGLibA_62793;HGLibA_62791;HGLibA_62790;HGLibA_62792;,-2.2837;-3.116;-0.53875;-0.21965;
