Gene_ID,sgrna_ID,sgrna_lfc
GPR141,HGLibA_19908,4.9387
GPR141,HGLibB_19880,1.2944
MYLK2,HGLibA_30787,3.1999
MYLK2,HGLibB_30746,1.3952
MYLK2,HGLibA_30786,1.3594
MYLK2,HGLibB_30745,0.6471
MYLK2,HGLibA_30788,0.63863
MYLK2,HGLibB_30744,0.080191
MRPS18B,HGLibA_30054,1.7198
MRPS18B,HGLibA_30053,4.1918
MRPS18B,HGLibA_30052,0.9709
MRPS18B,HGLibB_30012,1.0287
MRPS18B,HGLibB_30011,0.70707
ETHE1,HGLibA_15628,4.0064
ETHE1,HGLibA_15629,1.8001
ETHE1,HGLibA_15630,1.1613
ETHE1,HGLibB_15607,0.95228
ETHE1,HGLibB_15606,0.62522
ETHE1,HGLibB_15608,0.020128
SRGAP2,HGLibA_46971,1.701
SRGAP2,HGLibA_46970,2.1564
SRGAP2,HGLibA_46969,2.0183
SH2D5,HGLibA_43903,2.3845
SH2D5,HGLibA_43904,2.3839
SH2D5,HGLibB_43851,0.81056
THAP5,HGLibB_49246,2.062
THAP5,HGLibB_49245,1.2646
THAP5,HGLibA_49305,0.48979
THAP5,HGLibA_49303,0.45993
THAP5,HGLibB_49244,0.10696
CITED1,HGLibB_09732,2.742
CITED1,HGLibA_09742,0.6301
CITED1,HGLibA_09743,2.9969
CITED1,HGLibB_09734,0.41295
CITED1,HGLibA_09741,0.18218
PGLYRP4,HGLibB_36210,2.008
PGLYRP4,HGLibA_36258,1.8917
PGLYRP4,HGLibA_36259,1.1038
PGLYRP4,HGLibB_36212,1.0351
PGLYRP4,HGLibA_36257,0.47065
CREBL2,HGLibA_11110,1.9841
CREBL2,HGLibB_11098,0.41245
CREBL2,HGLibA_11112,0.76375
CREBL2,HGLibB_11099,0.78646
CREBL2,HGLibB_11100,0.27943
CREBL2,HGLibA_11111,1.4625
ZC3H8,HGLibA_54988,4.375
ZC3H8,HGLibB_54922,0.59899
ZC3H8,HGLibB_54921,1.5177
ZC3H8,HGLibA_54989,0.093037
EIF4H,HGLibA_14850,0.90049
EIF4H,HGLibB_14826,0.6245
EIF4H,HGLibA_14848,2.8464
EIF4H,HGLibA_14849,1.1959
EIF4H,HGLibB_14828,0.39857
EIF4H,HGLibB_14827,0.44683
QTRTD1,HGLibA_39762,3.5583
QTRTD1,HGLibA_39764,0.80555
QTRTD1,HGLibB_39711,0.78097
QTRTD1,HGLibA_39763,0.97558
QTRTD1,HGLibB_39712,0.32134
QTRTD1,HGLibB_39713,0.4947
SP9,HGLibB_46263,1.4931
SP9,HGLibA_46318,0.45475
SP9,HGLibB_46261,0.66619
SP9,HGLibA_46317,0.35037
SP9,HGLibB_46262,0.46581
SP9,HGLibA_46319,1.681
NF2,HGLibA_31762,2.0873
NF2,HGLibA_31760,4.8392
NF2,HGLibA_31761,1.2614
NF2,HGLibB_31719,4.1827
NF2,HGLibB_31717,1.1895
NF2,HGLibB_31718,0.3641
CELF3,HGLibB_09004,3.9645
CELF3,HGLibB_09003,0.71128
PQLC2,HGLibA_38253,1.1594
PQLC2,HGLibB_38205,0.85582
PQLC2,HGLibA_38254,1.2428
PQLC2,HGLibA_38255,0.98977
PQLC2,HGLibB_38206,0.32229
PQLC2,HGLibB_38204,0.31755
MAGED2,HGLibA_27971,1.466
MAGED2,HGLibA_27972,1.1079
MAGED2,HGLibA_27970,1.863
MAGED2,HGLibB_27931,0.64286
MAGED2,HGLibB_27930,0.4955
ATG14,HGLibA_03469,3.1015
ATG14,HGLibB_03468,2.3148
ATG14,HGLibB_03467,0.40353
ATG14,HGLibA_03471,0.24557
DCAF8,HGLibA_12456,0.98354
DCAF8,HGLibA_12458,1.8102
DCAF8,HGLibB_12443,0.81261
DCAF8,HGLibB_12442,0.3679
DCAF8,HGLibB_12444,0.3161
DCAF8,HGLibA_12457,1.0054
USP17L1P,HGLibA_53238,4.5298
USP17L1P,HGLibA_53239,1.2325
USP17L1P,HGLibB_53174,0.50161
USP17L1P,HGLibA_53240,0.31767
CDK11B,HGLibB_08721,5.4298
CDK11B,HGLibB_08722,0.98764
CDK11B,HGLibA_08728,1.3027
CDK11B,HGLibA_08729,1.4958
CDK11B,HGLibA_08727,0.80061
CDK11B,HGLibB_08720,0.014192
RND3,HGLibB_41400,1.9215
RND3,HGLibB_41398,2.5844
RND3,HGLibA_41451,1.1586
RND3,HGLibA_41450,1.5566
RND3,HGLibA_41452,0.5942
PUS7,HGLibA_39605,1.8541
PUS7,HGLibA_39603,1.5229
PUS7,HGLibB_39553,0.66872
PUS7,HGLibB_39555,0.60384
PUS7,HGLibA_39604,0.64236
LBR,HGLibA_26083,4.2263
LBR,HGLibA_26082,1.7813
MRPL16,HGLibB_29869,2.7041
MRPL16,HGLibA_29908,2.052
MRPL16,HGLibB_29867,0.53288
MRPL16,HGLibA_29909,0.83694
FAM63B,HGLibB_16638,0.92459
FAM63B,HGLibB_16639,0.83132
FAM63B,HGLibA_16662,0.61302
FAM63B,HGLibB_16640,0.76335
FAM63B,HGLibA_16661,1.4092
FAM63B,HGLibA_16663,0.45473
MACC1,HGLibB_27788,1.51
MACC1,HGLibA_27831,2.5813
MACC1,HGLibB_27790,1.499
MACC1,HGLibA_27829,0.2495
CRYGB,HGLibA_11273,1.3664
CRYGB,HGLibB_11261,3.1697
CRYGB,HGLibB_11260,0.36979
CRYGB,HGLibA_11272,0.94148
CRYGB,HGLibB_11262,0.86899
CRYGB,HGLibA_11274,0.33604
RABGGTA,HGLibA_40018,4.1535
RABGGTA,HGLibB_39967,0.64634
RABGGTA,HGLibA_40017,0.25336
RABGGTA,HGLibB_39966,0.074622
RFX7,HGLibB_40929,1.5659
RFX7,HGLibB_40930,0.64569
RFX7,HGLibA_40979,0.44219
RFX7,HGLibB_40928,0.9616
RFX7,HGLibA_40980,0.46073
RFX7,HGLibA_40981,0.45364
CASC5,HGLibB_07273,1.5538
CASC5,HGLibB_07275,1.0316
CASC5,HGLibA_07281,0.53998
CASC5,HGLibA_07280,0.98649
CASC5,HGLibA_07279,0.11718
PHGDH,HGLibB_36346,3.596
PHGDH,HGLibB_36345,0.2062
ZFP1,HGLibB_55112,0.75215
ZFP1,HGLibB_55113,1.2695
ZFP1,HGLibB_55114,1.6322
MLYCD,HGLibB_29406,1.8479
MLYCD,HGLibA_29447,4.0138
MLYCD,HGLibA_29448,0.54803
OR4C6,HGLibB_33918,1.8924
OR4C6,HGLibA_33963,1.617
OR4C6,HGLibA_33961,1.6059
OR4C6,HGLibB_33916,0.57156
ASZ1,HGLibB_03396,1.0447
ASZ1,HGLibA_03399,1.7883
ASZ1,HGLibA_03398,1.4081
ASZ1,HGLibB_03397,0.47255
ASZ1,HGLibB_03395,0.36704
DGKZ,HGLibB_13066,1.3081
DGKZ,HGLibA_13086,3.0866
DGKZ,HGLibB_13068,0.20831
ZNF586,HGLibA_56327,4.7076
ZNF586,HGLibB_56258,2.0575
ZNF586,HGLibA_56326,0.62645
ZNF586,HGLibB_56260,0.23262
ZNF586,HGLibA_56325,0.30541
PGBD3,HGLibA_36221,0.93424
PGBD3,HGLibB_36174,0.56096
PGBD3,HGLibB_36176,1.1054
PGBD3,HGLibA_36222,0.37259
PGBD3,HGLibB_36175,0.64584
PGBD3,HGLibA_36223,0.52214
ZNF654,HGLibA_56468,1.9826
ZNF654,HGLibB_56399,2.1942
ZNF654,HGLibA_56466,0.48086
ZNF654,HGLibB_56400,0.14391
AK9,HGLibA_01399,1.3326
AK9,HGLibA_01401,1.1109
AK9,HGLibA_01400,1.1869
AK9,HGLibB_01399,0.11506
AK9,HGLibB_01398,0.095992
KRTAP10-10,HGLibB_25558,1.7358
KRTAP10-10,HGLibB_25559,0.58705
KRTAP10-10,HGLibA_25593,0.84911
KRTAP10-10,HGLibA_25594,1.2047
