Gene_ID,sgrna_ID,sgrna_lfc
ZIM2,HGLibB_55271,-3.0648
HIST2H4B,HGLibB_21525,-2.4553
ZNF816-ZNF321P,HGLibA_56814,-1.3139
ZNF816-ZNF321P,HGLibA_56815,-2.054
PPIAL4C,HGLibB_37855,-1.6274
RPS11,HGLibB_42011,-1.3313
RPS11,HGLibA_42064,-2.3098
RPS11,HGLibA_42065,-1.9813
RPS11,HGLibB_42013,-1.6299
MYCL1,HGLibB_30635,-0.9151
MYCL1,HGLibB_30634,-2.0094
FAM86C1,HGLibA_16780,-1.594
FAM86C1,HGLibB_16755,-2.2671
FAM86C1,HGLibB_16757,-1.4431
FAM86C1,HGLibA_16779,-0.21653
FAM86C1,HGLibA_16778,-0.40024
VEGFA,HGLibB_53545,-1.5486
VEGFA,HGLibB_53546,-1.5587
VEGFA,HGLibA_53611,-1.3815
VEGFA,HGLibA_53612,-1.4476
VEGFA,HGLibB_53544,-0.49186
PCDHGB6,HGLibA_35565,-1.8018
PCDHGB6,HGLibA_35566,-0.95932
RANBP2,HGLibA_40201,-2.0145
RANBP2,HGLibA_40200,-1.3234
RANBP2,HGLibA_40202,-0.010352
HTRA3,HGLibB_22381,-1.8106
HTRA3,HGLibB_22383,-1.3033
HTRA3,HGLibA_22414,-1.4286
HTRA3,HGLibA_22412,-1.2706
HTRA3,HGLibB_22382,-0.4252
TRIM9,HGLibB_51555,-3.8775
TRIM9,HGLibA_51619,-0.92315
TRIM9,HGLibB_51554,-1.3617
TRIM9,HGLibA_51617,-1.1869
TRIM9,HGLibA_51618,-2.6663
TFDP1,HGLibA_49151,-2.9641
TFDP1,HGLibB_49092,-1.3432
TFDP1,HGLibB_49093,-1.2006
TFDP1,HGLibA_49150,-1.2402
PCDHA3,HGLibA_35442,-2.2956
PCDHA3,HGLibA_35441,-0.14002
COX6B2,HGLibB_10841,-1.1555
COX6B2,HGLibA_10852,-1.3835
COX6B2,HGLibB_10840,-1.2779
COX6B2,HGLibA_10851,-1.2874
COX6B2,HGLibB_10839,-0.071235
C7orf73,HGLibA_06591,-1.906
C7orf73,HGLibA_06590,-1.3429
C7orf73,HGLibA_06589,-1.1831
COX6A2,HGLibA_10844,-1.4377
COX6A2,HGLibB_10833,-1.4251
COX6A2,HGLibB_10835,-0.93102
COX6A2,HGLibA_10846,-3.0788
COX6A2,HGLibA_10845,-0.28975
TMEM202,HGLibA_50183,-3.0209
TMEM202,HGLibB_50124,-1.1048
TMEM202,HGLibA_50184,-1.1968
TMEM202,HGLibA_50182,-2.067
TMEM202,HGLibB_50123,-0.067207
IFI16,HGLibB_22563,-3.6129
IFI16,HGLibA_22593,-3.1352
IFI16,HGLibA_22592,-1.0885
IFI16,HGLibA_22594,-1.0993
IFI16,HGLibB_22561,-0.50871
RAX2,HGLibB_40358,-0.97651
RAX2,HGLibA_40410,-1.1807
RAX2,HGLibA_40409,-1.2965
RAX2,HGLibB_40359,-1.7816
RAX2,HGLibB_40360,-0.086023
IQCF1,HGLibA_23503,-0.7784
IQCF1,HGLibB_23469,-1.3727
IQCF1,HGLibA_23502,-1.7302
IQCF1,HGLibA_23501,-3.553
IQCF1,HGLibB_23468,-0.04709
H2AFX,HGLibB_20731,-1.8497
H2AFX,HGLibA_20759,-2.2489
H2AFX,HGLibB_20732,-2.1864
H2AFX,HGLibA_20760,-0.27917
TNFRSF11A,HGLibA_50746,-2.5374
TNFRSF11A,HGLibB_50684,-0.80631
TNFRSF11A,HGLibA_50744,-1.2942
TNFRSF11A,HGLibB_50683,-1.6044
TNFRSF11A,HGLibB_50682,-0.27577
CDC14A,HGLibA_08509,-1.8117
CDC14A,HGLibA_08510,-1.516
CDC14A,HGLibB_08503,-0.57971
RAI14,HGLibB_40090,-1.1439
RAI14,HGLibB_40089,-1.4387
RAI14,HGLibA_40141,-1.2657
RAI14,HGLibA_40142,-0.94784
IQCJ-SCHIP1,HGLibA_23525,-1.7377
IQCJ-SCHIP1,HGLibA_23526,-0.32063
ALG6,HGLibB_01633,-1.2391
ALG6,HGLibA_01634,-1.399
ALG6,HGLibA_01635,-2.0722
ALG6,HGLibB_01632,-0.81626
ALG6,HGLibB_01631,-0.28861
ALG6,HGLibA_01633,-0.29167
DYNC1LI2,HGLibB_14222,-0.9731
DYNC1LI2,HGLibA_14244,-5.1345
DYNC1LI2,HGLibB_14221,-1.0817
DYNC1LI2,HGLibA_14245,-1.1383
DYNC1LI2,HGLibA_14243,-0.056814
IL17D,HGLibA_22998,-1.1944
IL17D,HGLibA_22999,-3.0485
IL17D,HGLibA_22997,-2.2775
IL17D,HGLibB_22968,-0.8452
IL17D,HGLibB_22967,-0.014937
C1QTNF9B,HGLibA_05963,-1.0142
C1QTNF9B,HGLibA_05962,-1.4305
C1QTNF9B,HGLibA_05964,-0.67282
ARMS2,HGLibA_03058,-1.6881
ARMS2,HGLibB_03056,-1.5268
ARMS2,HGLibB_03058,-1.4683
