ID,Description,NES,pvalue,p.adjust,geneID,geneName,Count
GOBP:0010498,Proteasomal protein catabolic process,-2.110028246,0.001890359,0.659321357,9572/5692/5683/7415/5693/5690/5687/5686,NR1D1/PSMB4/PSMA2/VCP/PSMB5/PSMB2/PSMA6/PSMA5,8
GOBP:0000027,Ribosomal large subunit assembly,-2.339135094,0.001949318,0.659321357,6125/6123/6147/6128/55299/6175/6135/6136/6134/51187/6122/6152,RPL5/RPL3L/RPL23A/RPL6/BRIX1/RPLP0/RPL11/RPL12/RPL10/RSL24D1/RPL3/RPL24,12
GOBP:0002181,Cytoplasmic translation,-2.199627842,0.001972387,0.659321357,24140/25873/6128/6132/6176/6175/6133/6135/6234/6169/51182/51372/6171/6143/6152/6138/6161,FTSJ1/RPL36/RPL6/RPL8/RPLP1/RPLP0/RPL9/RPL11/RPS28/RPL38/HSPA14/TMA7/RPL41/RPL19/RPL24/RPL15/RPL32,17
GOBP:0009651,Response to salt stress,-1.836859892,0.001972387,0.659321357,581/7054/2056/3326/624,BAX/TH/EPO/HSP90AB1/BDKRB2,5
GOBP:0098656,Anion transmembrane transport,2.081720161,0.002040816,0.659321357,57282/7419/6522/9497/84230/7417/7416/9376/83697/114571/57835,SLC4A10/VDAC3/SLC4A2/SLC4A7/LRRC8C/VDAC2/VDAC1/SLC22A8/SLC4A9/SLC22A9/SLC4A5,11
GOBP:0071494,Cellular response to uv-c,-1.780308016,0.003891051,0.659321357,5429,POLH,1
GOBP:0010499,Proteasomal ubiquitin-independent protein catabolic process,-1.949414077,0.00390625,0.659321357,5692/5683/5693/5690/5687/5686,PSMB4/PSMA2/PSMB5/PSMB2/PSMA6/PSMA5,6
GOBP:0045824,Negative regulation of innate immune response,-1.780046379,0.003937008,0.659321357,7128/79594/9111/3428,TNFAIP3/MUL1/NMI/IFI16,4
GOBP:0001833,Inner cell mass cell proliferation,-1.831586055,0.003960396,0.659321357,54892/9837/57167/79728,NCAPG2/GINS1/SALL4/PALB2,4
GOBP:1903428,Positive regulation of reactive oxygen species biosynthetic process,-1.919673274,0.003992016,0.659321357,2902/575/2309/11315,GRIN1/ADGRB1/FOXO3/PARK7,4
GOBP:0010942,Positive regulation of cell death,-1.737221105,0.005859375,0.686032344,3043/4613/57105/3039/4035/7351/27429/1027/4504/1392/5245,HBB/MYCN/CYSLTR2/HBA1/LRP1/UCP2/HTRA2/CDKN1B/MT3/CRH/PHB,11
GOBP:0030902,Hindbrain development,-1.807928783,0.005905512,0.686032344,4093/84678/653/2020/10716,SMAD9/KDM2B/BMP5/EN2/TBR1,5
GOBP:0003810,Protein-glutamine gamma-glutamyltransferase activity,-1.747811274,0.00591716,0.686032344,7047/2162/9333/7051,TGM4/F13A1/TGM5/TGM1,4
GOBP:1901215,Negative regulation of neuron death,-1.774233344,0.006060606,0.686032344,867/348/5465/1981/84280/947/3596/6622/128866/207/5176/2056/11315/27429/10038,CBL/APOE/PPARA/EIF4G1/BTBD10/CD34/IL13/SNCA/CHMP4B/AKT1/SERPINF1/EPO/PARK7/HTRA2/PARP2,15
GOBP:0071312,Cellular response to alkaloid,-1.772253725,0.007662835,0.756781525,6770/7442/598/1644/3383,STAR/TRPV1/BCL2L1/DDC/ICAM1,5
GOBP:1901990,Regulation of mitotic cell cycle phase transition,-1.781488035,0.007662835,0.756781525,1642/7023/2068,DDB1/TFAP4/ERCC2,3
GOBP:0043523,Regulation of neuron apoptotic process,-1.798174348,0.007874016,0.756781525,2876/112398/23017/10280/2625/11315/8883,GPX1/EGLN2/FAIM2/SIGMAR1/GATA3/PARK7/NAE1,7
GOBP:0071364,Cellular response to epidermal growth factor stimulus,-1.657794473,0.007905138,0.756781525,51763/4691/153090/5781/867/677/5469/4141/8678/5151/5076/6662/2950/207/2296/1277/9530,INPP5K/NCL/DAB2IP/PTPN11/CBL/ZFP36L1/MED1/MARS/BECN1/PDE8A/PAX2/SOX9/GSTP1/AKT1/FOXC1/COL1A1/BAG4,17
GOBP:0060071,"Wnt signaling pathway, planar cell polarity pathway",-1.665303729,0.008064516,0.756781525,409/81839/23002/8324/115908/50855/7474/57154/64750/1175/5216/7074/10082/2239/2535/144165/7484,ARRB2/VANGL1/DAAM1/FZD7/CTHRC1/PARD6A/WNT5A/SMURF1/SMURF2/AP2S1/PFN1/TIAM1/GPC6/GPC4/FZD2/PRICKLE1/WNT9B,17
GOBP:0045292,"Mrna cis splicing, via spliceosome",1.801871057,0.008350731,0.766225934,9904/10929/55696/83759/9092/11193/51503/6426/28960/51729/6431/6429/6430/4686,RBM19/SRSF8/RBM22/RBM4B/SART1/WBP4/CWC15/SRSF1/DCPS/WBP11/SRSF6/SRSF4/SRSF5/NCBP1,14
GOBP:0007340,Acrosome reaction,-1.669887211,0.00990099,0.78191502,23627/7142/10566/152015/109/49,PRND/TNP2/AKAP3/ROPN1B/ADCY3/ACR,6
GOBP:0030218,Erythrocyte differentiation,-1.638807654,0.010080645,0.78191502,118/80739/8444/3717/2116/4090/836/6688/6886/2034/54892/3718/2625/3059/10661/3815/2056,ADD1/MPIG6B/DYRK3/JAK2/ETV2/SMAD5/CASP3/SPI1/TAL1/EPAS1/NCAPG2/JAK3/GATA3/HCLS1/KLF1/KIT/EPO,17
GOBP:0006287,"Base-excision repair, gap-filling",1.753494726,0.010183299,0.78191502,5428/5424,POLG/POLD1,2
GOBP:1902083,Negative regulation of peptidyl-cysteine s-nitrosylation,1.802488068,0.010183299,0.78191502,55074/6640/1756/493,OXR1/SNTA1/DMD/ATP2B4,4
GOBP:0001510,Rna methylation,-1.715874149,0.011494253,0.78191502,64783/79979/56257/144233,RBM15/TRMT2B/MEPCE/BCDIN3D,4
GOBP:0071353,Cellular response to interleukin-4,-1.697879732,0.011695906,0.78191502,5371/383/11009/2625/7494/10376/6175/3326/6122,PML/ARG1/IL24/GATA3/XBP1/TUBA1B/RPLP0/HSP90AB1/RPL3,9
GOBP:0001714,Endodermal cell fate specification,-1.648246219,0.011741683,0.78191502,79923/5460,NANOG/POU5F1,2
GOBP:0001774,Microglial cell activation,-1.777558034,0.011811024,0.78191502,7442/3596/6622/3689/1191/3684/3725,TRPV1/IL13/SNCA/ITGB2/CLU/ITGAM/JUN,7
GOBP:0042176,Regulation of protein catabolic process,-1.680700676,0.011811024,0.78191502,11124/4953/81610/5707/5708/5709,FAF1/ODC1/FAM83D/PSMD1/PSMD2/PSMD3,6
GOBP:0070830,Bicellular tight junction assembly,1.62685798,0.012684989,0.78191502,6801/92140/79778/324/50848/143162/10266/1739/9076/91862,STRN/MTDH/MICALL2/APC/F11R/FRMPD2/RAMP2/DLG1/CLDN1/MARVELD3,10
