"ID","Description","NES","pvalue","p.adjust","geneID","geneName","Count"
"GOMF:0010498","Proteasomal protein catabolic process",-2.11002824623491,0.00189035916824197,0.659321357285429,"9572/5692/5683/7415/5693/5690/5687/5686","NR1D1/PSMB4/PSMA2/VCP/PSMB5/PSMB2/PSMA6/PSMA5",8
"GOMF:0004298","Threonine-type endopeptidase activity",-2.07724081970891,0.00196463654223969,0.659321357285429,"5692/5683/5693/5690/5687/5686","PSMB4/PSMA2/PSMB5/PSMB2/PSMA6/PSMA5",6
"GOMF:0098656","Anion transmembrane transport",2.08172016059896,0.00204081632653061,0.659321357285429,"57282/7419/6522/9497/84230/7417/7416/9376/83697/114571/57835","SLC4A10/VDAC3/SLC4A2/SLC4A7/LRRC8C/VDAC2/VDAC1/SLC22A8/SLC4A9/SLC22A9/SLC4A5",11
"GOMF:0008486","Diphosphoinositol-polyphosphate diphosphatase activity",1.68299815856192,0.00390625,0.659321357285429,"11165/11163","NUDT3/NUDT4",2
"GOMF:0052840","Inositol diphosphate tetrakisphosphate diphosphatase activity",1.68299815856192,0.00390625,0.659321357285429,"11165/11163","NUDT3/NUDT4",2
"GOMF:0052843","Inositol-1-diphosphate-2,3,4,5,6-pentakisphosphate diphosphatase activity",1.68299815856192,0.00390625,0.659321357285429,"11165/11163","NUDT3/NUDT4",2
"GOMF:0052844","Inositol-3-diphosphate-1,2,4,5,6-pentakisphosphate diphosphatase activity",1.68299815856192,0.00390625,0.659321357285429,"11165/11163","NUDT3/NUDT4",2
"GOMF:0052845","Inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity",1.68299815856192,0.00390625,0.659321357285429,"11165/11163","NUDT3/NUDT4",2
"GOMF:0052846","Inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 1-diphosphatase activity",1.68299815856192,0.00390625,0.659321357285429,"11165/11163","NUDT3/NUDT4",2
"GOMF:0052847","Inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity",1.68299815856192,0.00390625,0.659321357285429,"11165/11163","NUDT3/NUDT4",2
"GOMF:0052848","Inositol-3,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity",1.68299815856192,0.00390625,0.659321357285429,"11165/11163","NUDT3/NUDT4",2
"GOMF:0030911","Tpr domain binding",-1.8173579551082,0.00574712643678161,0.686032343819229,"51762/22906/3326","RAB8B/TRAK1/HSP90AB1",3
"GOMF:0017049","Gtp-rho binding",-1.87811924360654,0.005859375,0.686032343819229,"11135/123720/5585/5586/148170/23580/643338","CDC42EP1/WHAMM/PKN1/PKN2/CDC42EP5/CDC42EP4/C15ORF62",7
"GOMF:1990948","Ubiquitin ligase inhibitor activity",-1.7262346674192,0.00587084148727984,0.686032343819229,"6125/9349/6135","RPL5/RPL23/RPL11",3
"GOMF:0035497","Camp response element binding",-1.83047655106049,0.00590551181102362,0.686032343819229,"1388/10488/1877/3725/64764","ATF6B/CREB3/E4F1/JUN/CREB3L2",5
"GOMF:0045182","Translation regulator activity",-1.82569726513007,0.00590551181102362,0.686032343819229,"2475/326/6146/23191/10644/6134/9775/6203","MTOR/AIRE/RPL22/CYFIP1/IGF2BP2/RPL10/EIF4A3/RPS9",8
"GOMF:0004017","Adenylate kinase activity",1.79367945530728,0.00606060606060606,0.686032343819229,"50808/26289/158067/102157402","AK3/AK5/AK8/AK6",4
"GOMF:0042301","Phosphate ion binding",1.85058258002321,0.00804828973843058,0.756781524926686,"10568/2538/159/5009/10797","SLC34A2/G6PC/ADSS/OTC/MTHFD2",5
"GOMF:0070006","Metalloaminopeptidase activity",1.83541116175928,0.0100603621730382,0.781915019528938,"4012/7511/4048/63929/2028/206338/4325","LNPEP/XPNPEP1/LTA4H/XPNPEP3/ENPEP/LVRN/MMP16",7
"GOMF:0016019","Peptidoglycan receptor activity",1.77522959346919,0.010183299389002,0.781915019528938,"57115/929","PGLYRP4/CD14",2
"GOMF:0031013","Troponin i binding",1.76305518322827,0.010183299389002,0.781915019528938,"7140/7134/7139/11123","TNNT3/TNNC1/TNNT2/RCAN3",4
"GOMF:0001510","Rna methylation",-1.71587414886926,0.0114942528735632,0.781915019528938,"64783/79979/56257/144233","RBM15/TRMT2B/MEPCE/BCDIN3D",4
"GOMF:0051787","Misfolded protein binding",-1.7685929677071,0.011605415860735,0.781915019528938,"54431/10013/1191/3305/27098/6782/51182","DNAJC10/HDAC6/CLU/HSPA1L/CLUL1/HSPA13/HSPA14",7
"GOMF:0000774","Adenyl-nucleotide exchange factor activity",-1.6865888274445,0.0118811881188119,0.781915019528938,"9529/9532/9531/64374/5216/134266/23640/9530","BAG5/BAG2/BAG3/SIL1/PFN1/GRPEL2/HSPBP1/BAG4",8
"GOMF:0050790","Regulation of catalytic activity",-1.60449770156135,0.0140845070422535,0.781915019528938,"9531/55589/57332/8678/142/23141/23568/10900/134266/5707/5564/1339/7273/5708/5709","BAG3/BMP2K/CBX8/BECN1/PARP1/ANKLE2/ARL2BP/RUNDC3A/GRPEL2/PSMD1/PRKAB1/COX6A2/TTN/PSMD2/PSMD3",15
"GOMF:0051575","5'-deoxyribose-5-phosphate lyase activity",1.70435283478815,0.0142566191446029,0.781915019528938,"7520/2547","XRCC5/XRCC6",2
"GOMF:0071901","Negative regulation of protein serine/threonine kinase activity",-1.68927777795919,0.0157170923379175,0.781915019528938,"29108/80279/65125/7532/153090/84062/25/207/57521","PYCARD/CDK5RAP3/WNK1/YWHAG/DAB2IP/DTNBP1/ABL1/AKT1/RPTOR",9
"GOMF:0045295","Gamma-catenin binding",1.73484596593763,0.0160965794768612,0.781915019528938,"324/6934/1495/1000/10297/5795/11122","APC/TCF7L2/CTNNA1/CDH2/APC2/PTPRJ/PTPRT",7
"GOMF:0015227","Acyl carnitine transmembrane transporter activity",-1.60560254555929,0.0176125244618395,0.792387653926115,"788/283600/123096","SLC25A20/SLC25A47/SLC25A29",3
"GOMF:0005452","Inorganic anion exchanger activity",1.76564329167568,0.0182186234817814,0.792387653926115,"57282/6522/9497/9376/83697/1811/55867/57835/83959","SLC4A10/SLC4A2/SLC4A7/SLC22A8/SLC4A9/SLC26A3/SLC22A11/SLC4A5/SLC4A11",9
