"ID","Description","NES","pvalue","p.adjust","geneID","geneName","Count"
"KEGG_hsa03050","Proteasome",-2.20749683981966,0.00190839694656489,0.234732824427481,"51371/5706/5717/5707/5692/5683/9491/5693/5690/5687/5686/5708/5709/10213","POMP/PSMC6/PSMD11/PSMD1/PSMB4/PSMA2/PSMF1/PSMB5/PSMB2/PSMA6/PSMA5/PSMD2/PSMD3/PSMD14",14
"KEGG_hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",-1.86919472589866,0.00396039603960396,0.243564356435644,"6898/51805/1728/2677/51004/10229","TAT/COQ3/NQO1/GGCX/COQ6/COQ7",6
"KEGG_hsa04962","Vasopressin-regulated water reabsorption",-1.68375290984632,0.00757575757575758,0.310606060606061,"5567/140735/51143/90993/1783/10540/1780/109/10488/398/64764/1778","PRKACB/DYNLL2/DYNC1LI1/CREB3L1/DYNC1LI2/DCTN2/DYNC1I1/ADCY3/CREB3/ARHGDIG/CREB3L2/DYNC1H1",12
"KEGG_hsa03430","Mismatch repair",1.51869000152891,0.0427698574338086,0.813387096774194,"5395/4292/4437/5985/29935/5424/57804/10714/5981/5111/5983","PMS2/MLH1/MSH3/RFC5/RPA4/POLD1/POLD4/POLD3/RFC1/PCNA/RFC3",11
"KEGG_hsa03060","Protein export",1.42466953239744,0.0712830957230143,0.813387096774194,"6729/29927/6726/9789/60559/23480/6730/11231/23478/10952/58477/83943/28972","SRP54/SEC61A1/SRP9/SPCS2/SPCS3/SEC61G/SRP68/SEC63/SEC11A/SEC61B/SRPRB/IMMP2L/SPCS1",13
"KEGG_hsa04710","Circadian rhythm",-1.37130468445444,0.0776892430278884,0.813387096774194,"8454/53632/9572/9978/5564/5562/4862","CUL1/PRKAG3/NR1D1/RBX1/PRKAB1/PRKAA1/NPAS2",7
"KEGG_hsa04913","Ovarian steroidogenesis",1.31265194749202,0.0826446280991736,0.813387096774194,"107/2492/1588/9210/51478/240/196883/5743/283748/3630/1081","ADCY1/FSHR/CYP19A1/BMP15/HSD17B7/ALOX5/ADCY4/PTGS2/PLA2G4D/INS/CGA",11
"KEGG_hsa00740","Riboflavin metabolism",-1.42849934819957,0.0901803607214429,0.813387096774194,"54/645","ACP5/BLVRB",2
"KEGG_hsa00780","Biotin metabolism",-1.35417170507323,0.0982318271119843,0.813387096774194,"3141/54995","HLCS/OXSM",2
"KEGG_hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",-1.40117318222805,0.108870967741935,0.813387096774194,"80201","HKDC1",1
"KEGG_hsa00062","Fatty acid elongation",-1.30221301599234,0.111553784860558,0.813387096774194,"6785/51104/9374/64834/1892/11332/51495/83401/9200/79071/9524/284486/79993/10965/201562/54898/5538","ELOVL4/ABHD17B/PPT2/ELOVL1/ECHS1/ACOT7/HACD3/ELOVL3/HACD1/ELOVL6/TECR/THEM5/ELOVL7/ACOT2/HACD2/ELOVL2/PPT1",17
"KEGG_hsa04966","Collecting duct acid secretion",-1.30999115765954,0.117063492063492,0.813387096774194,"50617/245973/6521/534/527","ATP6V0A4/ATP6V1C2/SLC4A1/ATP6V1G2/ATP6V0C",5
"KEGG_hsa05110","Vibrio cholerae infection",-1.26972001485545,0.122047244094488,0.813387096774194,"5567/9114/10945/50617/5578/109/245973/71/534/60/527","PRKACB/ATP6V0D1/KDELR1/ATP6V0A4/PRKCA/ADCY3/ATP6V1C2/ACTG1/ATP6V1G2/ACTB/ATP6V0C",11
"KEGG_hsa00120","Primary bile acid biosynthesis",-1.32604494839664,0.125475285171103,0.813387096774194,"8309/23600/1582/51302/9023/570/9420","ACOX2/AMACR/CYP8B1/CYP39A1/CH25H/BAAT/CYP7B1",7
"KEGG_hsa05030","Cocaine addiction",-1.25902390994298,0.129411764705882,0.813387096774194,"1644/8787/2906/90993/26086/2902/1388/10488/116444/3725/64764","DDC/RGS9/GRIN2D/CREB3L1/GPSM1/GRIN1/ATF6B/CREB3/GRIN3B/JUN/CREB3L2",11
"KEGG_hsa00591","Linoleic acid metabolism",1.28010684224922,0.130522088353414,0.813387096774194,"1571/1559/8399/1576/283748/246","CYP2E1/CYP2C9/PLA2G10/CYP3A4/PLA2G4D/ALOX15",6
"KEGG_hsa00250","Alanine, aspartate and glutamate metabolism",1.2676200399978,0.131048387096774,0.813387096774194,"7915/159/339983/2572/8528/2875/2346/56954/440/2747/2673","ALDH5A1/ADSS/NAT8L/GAD2/DDO/GPT/FOLH1/NIT2/ASNS/GLUD2/GFPT1",11
"KEGG_hsa04977","Vitamin digestion and absorption",1.29935449418125,0.135353535353535,0.813387096774194,"9963/55788/2346/113278/158835/5948/337","SLC23A1/LMBRD1/FOLH1/SLC52A3/AWAT2/RBP2/APOA4",7
"KEGG_hsa00052","Galactose metabolism",1.26971504428834,0.138,0.813387096774194,"2538/2683/2717/55276/7360/231/57016/3938","G6PC/B4GALT1/GLA/PGM2/UGP2/AKR1B1/AKR1B10/LCT",8
"KEGG_hsa04215","Apoptosis - multiple species",-1.26850597146906,0.141153081510934,0.813387096774194,"666/840/637/598/5601/8772/8678/836/4804/10018/596/27429","BOK/CASP7/BID/BCL2L1/MAPK9/FADD/BECN1/CASP3/NGFR/BCL2L11/BCL2/HTRA2",12
