Pathway_categories,Number,Type
Transcription by rna polymerase iii,16,biological_process
Ribosomal large subunit biogenesis,24,biological_process
Protein export from nucleus,12,biological_process
Preribosome,12,cellular_component
Early endosome to late endosome transport,11,biological_process
Peptide catabolic process,7,biological_process
Acetyltransferase activity,9,molecular_function
Camp response element binding,8,molecular_function
Positive regulation of transcription of notch receptor target,6,biological_process
Trna aminoacylation for protein translation,18,biological_process
Negative regulation of cardiac muscle cell apoptotic process,10,biological_process
Intrinsic apoptotic signaling pathway in response to dna damage by p53 class mediator,15,biological_process
Rna polymerase iii complex,8,cellular_component
Cellular response to amyloid-beta,9,biological_process
Trna wobble uridine modification,7,biological_process
Long-term synaptic depression,7,biological_process
Eukaryotic 48s preinitiation complex,9,cellular_component
Formation of cytoplasmic translation initiation complex,8,biological_process
Nuclear export signal receptor activity,5,molecular_function
Clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane,4,cellular_component
Histone deacetylase activity,13,biological_process
Histone deacetylase activity,13,molecular_function
Blood circulation,15,biological_process
Rna polymerase iii general transcription initiation factor activity,6,molecular_function
5s class rrna transcription by rna polymerase iii,4,biological_process
Trna transcription by rna polymerase iii,4,biological_process
Negative regulation of fibroblast apoptotic process,4,biological_process
Elongator holoenzyme complex,5,cellular_component
Translation initiation factor activity,18,molecular_function
Anterograde axonal protein transport,3,biological_process
Notch signaling involved in heart development,4,biological_process
Superoxide metabolic process,6,biological_process
Rna polymerase ii complex binding,11,molecular_function
Brown fat cell differentiation,13,biological_process
Eukaryotic 43s preinitiation complex,9,cellular_component
Protein phosphatase type 1 complex,5,cellular_component
Protein localization to nucleolus,4,biological_process
Negative regulation of cell differentiation,8,biological_process
Regulation of modification of postsynaptic actin cytoskeleton,2,biological_process
Sulfur amino acid metabolic process,2,biological_process
Regulation of mitotic centrosome separation,3,biological_process
Sulfur amino acid metabolic process,2,molecular_function
Cell fate commitment,15,biological_process
Small-subunit processome,11,cellular_component
Cerebral cortex gabaergic interneuron migration,2,biological_process
Invadopodium membrane,3,cellular_component
Nadp metabolic process,6,biological_process
Nad-dependent histone deacetylase activity (h3-k14 specific),6,molecular_function
Pulmonary valve morphogenesis,4,biological_process
Pwp2p-containing subcomplex of 90s preribosome,3,cellular_component
Positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,5,biological_process
Mitochondrial alpha-ketoglutarate dehydrogenase complex,1,cellular_component
Pre-mrna binding,9,molecular_function
