"ID","Description","NES","pvalue","p.adjust","geneID","geneName","Count"
"GOCC:0030687","Preribosome, large subunit precursor",1.99162060907168,0.00149253731343284,0.499033115784385,"55759/3692/54663/23212/23076/80135/23481/84549/51042/56342/117246/8568","WDR12/EIF6/WDR74/RRS1/RRP1B/RPF1/PES1/MAK16/ZNF593/PPAN/FTSJ3/RRP1",12
"GOCC:0005666","Rna polymerase iii complex",1.8102320327286,0.00307219662058372,0.499033115784385,"27297/51728/171568/10623/55703/11128/55718/5435","CRCP/POLR3K/POLR3H/POLR3C/POLR3B/POLR3A/POLR3E/POLR2F",8
"GOCC:0033290","Eukaryotic 48s preinitiation complex",1.7326186869942,0.0031055900621118,0.499033115784385,"728689/10480/8665/8669/8661/8667/27335/8668/1965","EIF3CL/EIF3M/EIF3F/EIF3J/EIF3A/EIF3H/EIF3K/EIF3I/EIF2S1",9
"GOCC:0061202","Clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane",1.7175162312234,0.00329489291598023,0.499033115784385,"2571/6844/2572/3312","GAD1/VAMP2/GAD2/HSPA8",4
"GOCC:0033588","Elongator holoenzyme complex",1.87492259511836,0.00338409475465313,0.499033115784385,"23587/55140/8518/26610/54859","ELP5/ELP3/ELP1/ELP4/ELP6",5
"GOCC:0016282","Eukaryotic 43s preinitiation complex",1.73902370648106,0.00625,0.655188828943193,"728689/54505/10480/8665/8669/8661/8667/27335/8668","EIF3CL/DHX29/EIF3M/EIF3F/EIF3J/EIF3A/EIF3H/EIF3K/EIF3I",9
"GOCC:0000164","Protein phosphatase type 1 complex",1.66176588898776,0.00649350649350649,0.655188828943193,"5500/8036/79660/84687/5501","PPP1CB/SHOC2/PPP1R3B/PPP1R9B/PPP1CC",5
"GOCC:0032040","Small-subunit processome",1.70148628265402,0.00720461095100865,0.655188828943193,"5822/51602/10607/55127/51118/25983/51096/51077/2091/25879/65083","PWP2/NOP58/TBL3/HEATR1/UTP11/NGDN/UTP18/FCF1/FBL/DCAF13/NOL6",11
"GOCC:0071438","Invadopodium membrane",-1.79268994878588,0.0072992700729927,0.655188828943193,"1803/3675/27035","DPP4/ITGA3/NOX1",3
"GOCC:0034388","Pwp2p-containing subcomplex of 90s preribosome",1.70845414886716,0.00830564784053156,0.685880398671096,"5822/10607/51096","PWP2/TBL3/UTP18",3
"GOCC:0005947","Mitochondrial alpha-ketoglutarate dehydrogenase complex",-1.72712427073093,0.00892857142857143,0.708962912087912,"10295","BCKDK",1
"GOCC:0072357","Ptw/pp1 phosphatase complex",1.70037029799044,0.00996677740863787,0.742625899280576,"5500/4659/5501","PPP1CB/PPP1R12A/PPP1CC",3
"GOCC:0005614","Interstitial matrix",1.64045133055451,0.0110410094637224,0.760615271253569,"89797/64856/25890","NAV2/VWA1/ABI3BP",3
"GOCC:0005655","Nucleolar ribonuclease p complex",1.60475810442857,0.0166112956810631,0.793847632780582,"10557/10248/51367","RPP38/POP7/POP5",3
