gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc
MYLK2,2.87E-05,0.00014671,0.771287,2,1.0032,6,HGLibA_30787;HGLibB_30746;HGLibA_30786;HGLibB_30745;HGLibA_30788;HGLibB_30744;,3.1999;1.3952;1.3594;0.6471;0.63863;0.080191;
MRPS18B,3.40E-05,0.00016314,0.771287,3,0.99979,5,HGLibA_30054;HGLibA_30053;HGLibA_30052;HGLibB_30012;HGLibB_30011;,1.7198;4.1918;0.9709;1.0287;0.70707;
ETHE1,3.97E-05,0.00017774,0.771287,4,1.0568,6,HGLibA_15628;HGLibA_15629;HGLibA_15630;HGLibB_15607;HGLibB_15606;HGLibB_15608;,4.0064;1.8001;1.1613;0.95228;0.62522;0.020128;
SRGAP2,4.78E-05,0.00017363,0.771287,5,1.8597,3,HGLibA_46971;HGLibA_46970;HGLibA_46969;,1.701;2.1564;2.0183;
PGLYRP4,0.00010479,0.00060121,0.859879,9,1.0694,5,HGLibB_36210;HGLibA_36258;HGLibA_36259;HGLibB_36212;HGLibA_36257;,2.008;1.8917;1.1038;1.0351;0.47065;
CREBL2,0.00011654,0.00062221,0.859879,10,0.77511,6,HGLibA_11110;HGLibB_11098;HGLibA_11112;HGLibB_11099;HGLibB_11100;HGLibA_11111;,1.9841;0.41245;0.76375;0.78646;0.27943;1.4625;
EIF4H,0.00014012,0.00084855,0.859879,13,0.76249,6,HGLibA_14850;HGLibB_14826;HGLibA_14848;HGLibA_14849;HGLibB_14828;HGLibB_14827;,0.90049;0.6245;2.8464;1.1959;0.39857;0.44683;
QTRTD1,0.00014189,0.000849,0.859879,14,0.79326,6,HGLibA_39762;HGLibA_39764;HGLibB_39711;HGLibA_39763;HGLibB_39712;HGLibB_39713;,3.5583;0.80555;0.78097;0.97558;0.32134;0.4947;
NF2,0.00015491,0.00089646,0.859879,16,1.6743,6,HGLibA_31762;HGLibA_31760;HGLibA_31761;HGLibB_31719;HGLibB_31717;HGLibB_31718;,2.0873;4.8392;1.2614;4.1827;1.1895;0.3641;
PQLC2,0.00019585,0.0010283,0.859879,18,0.92279,6,HGLibA_38253;HGLibB_38205;HGLibA_38254;HGLibA_38255;HGLibB_38206;HGLibB_38204;,1.1594;0.85582;1.2428;0.98977;0.32229;0.31755;
MAGED2,0.00020041,0.0010311,0.859879,19,0.87539,5,HGLibA_27971;HGLibA_27972;HGLibA_27970;HGLibB_27931;HGLibB_27930;,1.466;1.1079;1.863;0.64286;0.4955;
