id,neg|score,neg|p-value,neg|fdr,neg|rank,neg|lfc,neg|goodsgrnacount,neg|goodsgrnaid,neg|goodsgrnalfc
HTRA3,2.36E-06,3.22E-05,0.69802,1,-1.5987,5,HGLibB_22383;HGLibA_22414;HGLibB_22381;HGLibA_22412;HGLibB_22382;,-2.055;-2.8165;-1.3218;-1.8755;-0.881;
COL20A1,1.57E-05,0.00029182,0.90484,2,0.062327,2,HGLibB_10526;HGLibB_10525;,-1.193;-1.5067;
RPL32,1.58E-05,0.00029365,0.90484,3,-2.3781,5,HGLibB_41887;HGLibB_41888;HGLibA_41941;HGLibA_41940;HGLibB_41886;,-2.0707;-2.6855;-2.7245;-2.6973;-1.0272;
GRM8,1.62E-05,0.00029365,0.90484,4,-0.80865,6,HGLibA_20363;HGLibA_20361;HGLibB_20334;HGLibB_20335;HGLibA_20362;HGLibB_20333;,-1.2887;-2.3517;-0.84537;-0.53125;-0.77193;-0.58578;
CAMSAP3,1.63E-05,0.00029365,0.90484,5,-0.17063,4,HGLibB_07108;HGLibA_07113;HGLibA_07111;HGLibA_07112;,-1.0894;-1.7204;-0.30136;-0.039909;
GBP2,2.51E-05,0.00035617,0.90484,6,0.23706,2,HGLibA_18730;HGLibB_18705;,-3.4615;-0.23771;
CORIN,2.75E-05,0.0003621,0.90484,7,-0.85942,5,HGLibA_10769;HGLibB_10760;HGLibA_10771;HGLibB_10758;HGLibA_10770;,-2.3269;-0.70972;-1.4663;-1.0091;-0.67032;
ATP6V0C,2.86E-05,0.00036484,0.90484,8,-1.7689,6,HGLibB_03712;HGLibB_03713;HGLibA_03714;HGLibA_03715;HGLibA_03716;HGLibB_03714;,-1.597;-3.2361;-5.3489;-1.1625;-1.9408;-0.32948;
SIN3B,3.61E-05,0.00037533,0.90484,9,-2.0267,5,HGLibA_44186;HGLibB_44134;HGLibA_44185;HGLibB_44133;HGLibB_44132;,-2.7356;-2.6548;-1.3986;-5.5282;-0.076357;
PSMD2,5.45E-05,0.00045108,0.962871,10,-1.1712,6,HGLibB_39117;HGLibB_39118;HGLibA_39166;HGLibA_39165;HGLibA_39167;HGLibB_39116;,-0.86498;-1.0434;-1.299;-1.3536;-1.345;-0.013851;
PLTP,6.99E-05,0.00058981,0.962871,11,-1.8275,6,HGLibB_37198;HGLibA_37246;HGLibA_37247;HGLibB_37196;HGLibB_37197;HGLibA_37245;,-0.90177;-1.5398;-2.1151;-3.7774;-2.5589;-0.62883;
GRAMD1A,7.54E-05,0.00060578,0.962871,12,-0.076496,3,HGLibB_20165;HGLibA_20194;HGLibA_20195;,-1.2494;-1.1407;-0.21358;
KIT,7.61E-05,0.00060806,0.962871,13,-0.71043,5,HGLibA_25014;HGLibB_24980;HGLibA_25016;HGLibA_25015;HGLibB_24982;,-1.8841;-0.70177;-0.7191;-1.8645;-0.41251;
COX6A2,7.74E-05,0.00062129,0.962871,14,-0.94127,5,HGLibB_10835;HGLibA_10844;HGLibA_10846;HGLibB_10833;HGLibA_10845;,-2.033;-1.0437;-3.6821;-0.83886;-0.11626;
PSMD3,0.00011933,0.0008887,1,15,-1.2536,6,HGLibA_39169;HGLibB_39119;HGLibB_39120;HGLibA_39170;HGLibB_39121;HGLibA_39168;,-2.1365;-1.3512;-1.156;-1.64;-0.63685;-0.62326;
HBA1,0.00012463,0.00093114,1,16,-0.50137,5,HGLibA_20906;HGLibB_20878;HGLibB_20879;HGLibA_20908;HGLibA_20907;,-1.3957;-1.054;-0.33475;-0.66798;-0.14379;
TGM5,0.00012499,0.00093114,1,17,-0.69239,6,HGLibA_49266;HGLibB_49205;HGLibB_49207;HGLibB_49206;HGLibA_49265;HGLibA_49264;,-1.5835;-1.5613;-0.79287;-0.51845;-0.59191;-0.43676;
PRKAR2B,0.00012562,0.00093114,1,18,0.04672,3,HGLibA_38529;HGLibA_38531;HGLibB_38481;,-1.8039;-0.32976;-0.062804;
MIEF2,0.00013104,0.0009389,1,19,-0.67845,4,HGLibB_29205;HGLibA_29245;HGLibB_29206;HGLibA_29246;,-1.7439;-2.5557;-0.94028;-0.41662;
PSTPIP1,0.00013183,0.00094346,1,20,-0.82928,6,HGLibB_39189;HGLibB_39188;HGLibA_39238;HGLibA_39237;HGLibB_39190;HGLibA_39239;,-3.8369;-1.0784;-0.98318;-0.67538;-0.38211;-0.50296;
MGEA5,0.00016338,0.0013624,1,21,-1.0377,5,HGLibA_29157;HGLibA_29156;HGLibB_29116;HGLibB_29115;HGLibB_29114;,-1.6279;-2.082;-0.90662;-0.58618;-1.1688;
CYP11A1,0.00016686,0.0013948,1,22,-0.75934,6,HGLibA_12053;HGLibA_12051;HGLibB_12039;HGLibB_12038;HGLibA_12052;HGLibB_12040;,-1.9549;-1.3248;-0.94782;-0.4889;-0.57086;-0.28971;
DHCR7,0.00017587,0.0014085,1,23,-0.12689,4,HGLibB_13076;HGLibA_13095;HGLibA_13094;HGLibB_13077;,-1.3265;-0.24817;-0.13618;-0.1176;
GRIN3B,0.00019071,0.0014874,1,24,-0.65974,4,HGLibA_20314;HGLibB_20285;HGLibB_20286;HGLibA_20313;,-2.0035;-0.87337;-1.5642;-0.44612;
TTN,0.00020295,0.0015714,1,25,-0.98248,5,HGLibB_52154;HGLibA_52220;HGLibB_52155;HGLibA_52219;HGLibA_52218;,-1.026;-0.94632;-1.0186;-3.6891;-0.57051;
