id,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc
GPR141,2.51E-05,0.0001134,0.771287,1,-0.32632,2,HGLibA_19908;HGLibB_19880;,4.9387;1.2944;
MYLK2,2.87E-05,0.00014671,0.771287,2,1.0032,6,HGLibA_30787;HGLibB_30746;HGLibA_30786;HGLibB_30745;HGLibA_30788;HGLibB_30744;,3.1999;1.3952;1.3594;0.6471;0.63863;0.080191;
MRPS18B,3.40E-05,0.00016314,0.771287,3,0.99979,5,HGLibA_30054;HGLibA_30053;HGLibA_30052;HGLibB_30012;HGLibB_30011;,1.7198;4.1918;0.9709;1.0287;0.70707;
ETHE1,3.97E-05,0.00017774,0.771287,4,1.0568,6,HGLibA_15628;HGLibA_15629;HGLibA_15630;HGLibB_15607;HGLibB_15606;HGLibB_15608;,4.0064;1.8001;1.1613;0.95228;0.62522;0.020128;
SRGAP2,4.78E-05,0.00017363,0.771287,5,1.8597,3,HGLibA_46971;HGLibA_46970;HGLibA_46969;,1.701;2.1564;2.0183;
SH2D5,6.15E-05,0.00029319,0.859879,6,0.38675,3,HGLibA_43903;HGLibA_43904;HGLibB_43851;,2.3845;2.3839;0.81056;
THAP5,6.83E-05,0.0003621,0.859879,7,0.47486,5,HGLibB_49246;HGLibB_49245;HGLibA_49305;HGLibA_49303;HGLibB_49244;,2.062;1.2646;0.48979;0.45993;0.10696;
CITED1,7.54E-05,0.00039039,0.859879,8,0.52152,5,HGLibB_09732;HGLibA_09742;HGLibA_09743;HGLibB_09734;HGLibA_09741;,2.742;0.6301;2.9969;0.41295;0.18218;
PGLYRP4,0.00010479,0.00060121,0.859879,9,1.0694,5,HGLibB_36210;HGLibA_36258;HGLibA_36259;HGLibB_36212;HGLibA_36257;,2.008;1.8917;1.1038;1.0351;0.47065;
CREBL2,0.00011654,0.00062221,0.859879,10,0.77511,6,HGLibA_11110;HGLibB_11098;HGLibA_11112;HGLibB_11099;HGLibB_11100;HGLibA_11111;,1.9841;0.41245;0.76375;0.78646;0.27943;1.4625;
ZC3H8,0.00012562,0.00075545,0.859879,12,0.34602,4,HGLibA_54988;HGLibB_54922;HGLibB_54921;HGLibA_54989;,4.375;0.59899;1.5177;0.093037;
EIF4H,0.00014012,0.00084855,0.859879,13,0.76249,6,HGLibA_14850;HGLibB_14826;HGLibA_14848;HGLibA_14849;HGLibB_14828;HGLibB_14827;,0.90049;0.6245;2.8464;1.1959;0.39857;0.44683;
QTRTD1,0.00014189,0.000849,0.859879,14,0.79326,6,HGLibA_39762;HGLibA_39764;HGLibB_39711;HGLibA_39763;HGLibB_39712;HGLibB_39713;,3.5583;0.80555;0.78097;0.97558;0.32134;0.4947;
SP9,0.00014647,0.00085904,0.859879,15,0.566,6,HGLibB_46263;HGLibA_46318;HGLibB_46261;HGLibA_46317;HGLibB_46262;HGLibA_46319;,1.4931;0.45475;0.66619;0.35037;0.46581;1.681;
NF2,0.00015491,0.00089646,0.859879,16,1.6743,6,HGLibA_31762;HGLibA_31760;HGLibA_31761;HGLibB_31719;HGLibB_31717;HGLibB_31718;,2.0873;4.8392;1.2614;4.1827;1.1895;0.3641;
CELF3,0.00017587,0.00099959,0.859879,17,-0.029875,2,HGLibB_09004;HGLibB_09003;,3.9645;0.71128;
PQLC2,0.00019585,0.0010283,0.859879,18,0.92279,6,HGLibA_38253;HGLibB_38205;HGLibA_38254;HGLibA_38255;HGLibB_38206;HGLibB_38204;,1.1594;0.85582;1.2428;0.98977;0.32229;0.31755;
MAGED2,0.00020041,0.0010311,0.859879,19,0.87539,5,HGLibA_27971;HGLibA_27972;HGLibA_27970;HGLibB_27931;HGLibB_27930;,1.466;1.1079;1.863;0.64286;0.4955;
ATG14,0.00021421,0.0010658,0.859879,20,0.32455,4,HGLibA_03469;HGLibB_03468;HGLibB_03467;HGLibA_03471;,3.1015;2.3148;0.40353;0.24557;
DCAF8,0.00021422,0.0010658,0.859879,21,0.89807,6,HGLibA_12456;HGLibA_12458;HGLibB_12443;HGLibB_12442;HGLibB_12444;HGLibA_12457;,0.98354;1.8102;0.81261;0.3679;0.3161;1.0054;
USP17L1P,0.00022478,0.00079607,0.859879,22,0.86707,4,HGLibA_53238;HGLibA_53239;HGLibB_53174;HGLibA_53240;,4.5298;1.2325;0.50161;0.31767;
CDK11B,0.00022611,0.001241,0.859879,23,1.1451,6,HGLibB_08721;HGLibB_08722;HGLibA_08728;HGLibA_08729;HGLibA_08727;HGLibB_08720;,5.4298;0.98764;1.3027;1.4958;0.80061;0.014192;
RND3,0.00022901,0.0012414,0.859879,24,1.3576,5,HGLibB_41400;HGLibB_41398;HGLibA_41451;HGLibA_41450;HGLibA_41452;,1.9215;2.5844;1.1586;1.5566;0.5942;
PUS7,0.00023302,0.0012437,0.859879,25,0.65554,5,HGLibA_39605;HGLibA_39603;HGLibB_39553;HGLibB_39555;HGLibA_39604;,1.8541;1.5229;0.66872;0.60384;0.64236;
