id,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc
ZIM2,0.95263,0.94121,1,19622,-3.0648,0,,
HIST2H4B,0.99261,0.98217,1,20506,-2.4553,0,,
ZNF816-ZNF321P,0.98023,0.97706,1,20249,-1.684,0,,
PPIAL4C,0.99294,0.98217,1,20516,-1.6274,0,,
RPS11,0.30664,0.494,0.992885,10584,-1.4806,2,HGLibA_42066;HGLibB_42012;,0.84306;0.032656;
MYCL1,0.98885,0.98711,1,20432,-1.4622,0,,
FAM86C1,0.99595,0.99529,1,20596,-1.4431,0,,
VEGFA,0.65972,0.77803,1,16106,-1.4146,1,HGLibA_53610;,0.57885;
PCDHGB6,0.99902,0.99816,1,20675,-1.3805,0,,
RANBP2,0.89835,0.89754,1,18704,-1.3234,0,,
HTRA3,0.94335,0.9378,1,19432,-1.287,1,HGLibA_22413;,0.32744;
TRIM9,0.26595,0.44904,0.983426,9733,-1.2743,1,HGLibB_51553;,1.1109;
TFDP1,0.86968,0.8955,1,18401,-1.2204,2,HGLibB_49091;HGLibA_49152;,0.26204;0.092985;
PCDHA3,0.87569,0.86847,1,18445,-1.2178,0,,
COX6B2,0.90891,0.91364,1,18847,-1.2167,1,HGLibA_10850;,0.31516;
C7orf73,0.20855,0.36053,0.957211,8499,-1.1831,2,HGLibB_06586;HGLibB_06585;,2.071;0.37838;
COX6A2,0.9809,0.98163,1,20265,-1.1781,1,HGLibB_10834;,0.054997;
TMEM202,0.062067,0.1592,0.913945,3653,-1.1508,1,HGLibB_50122;,0.94012;
IFI16,0.98699,0.98751,1,20393,-1.0939,1,HGLibB_22562;,0.014005;
RAX2,0.30297,0.4898,0.992885,10508,-1.0786,1,HGLibA_40411;,0.95231;
IQCF1,0.91088,0.91414,1,18879,-1.0755,1,HGLibB_23470;,0.30526;
H2AFX,0.73473,0.83149,1,17116,-1.0644,2,HGLibB_20733;HGLibA_20761;,0.29991;0.26566;
TNFRSF11A,0.013515,0.043293,0.810524,1096,-1.0503,1,HGLibA_50745;,3.0571;
CDC14A,0.75092,0.76897,1,17354,-1.0478,1,HGLibB_08502;,0.55675;
RAI14,0.42484,0.62701,1,13039,-1.0459,2,HGLibB_40091;HGLibA_40140;,0.52314;1.0348;
IQCJ-SCHIP1,0.87203,0.86479,1,18416,-1.0291,0,,
ALG6,0.99779,0.9975,1,20646,-1.0277,0,,
DYNC1LI2,0.98156,0.98228,1,20280,-1.0274,1,HGLibB_14223;,0.048316;
IL17D,0.9673,0.96921,1,19930,-1.0198,1,HGLibB_22966;,0.11655;
C1QTNF9B,0.9961,0.99462,1,20599,-1.0142,0,,
ARMS2,0.94896,0.94639,1,19546,-1.0122,1,HGLibB_03057;,0.30922;
RPS15,0.97522,0.97608,1,20134,-1.012,2,HGLibB_42023;HGLibB_42025;,0.14456;0.076625;
S100A13,0.72257,0.82336,1,16955,-1.0075,2,HGLibB_42489;HGLibB_42490;,0.52407;0.22221;
NCAPD3,0.98866,0.98872,1,20427,-0.99608,1,HGLibB_31224;,0.00579;
HIST2H3C,0.92742,0.915,1,19141,-0.99592,0,,
TOMM34,0.95962,0.95787,1,19784,-0.97743,1,HGLibB_50901;,0.18323;
OLFM3,0.78027,0.86117,1,17628,-0.96299,1,HGLibB_33304;,0.24101;
EOGT,0.99955,0.99928,1,20689,-0.95899,0,,
NPRL2,0.47349,0.66635,1,13824,-0.95823,1,HGLibB_32474;,1.3322;
NOX1,0.85165,0.88694,1,18213,-0.95649,1,HGLibA_32371;,0.41963;
PRAMEF11,0.2653,0.43226,0.973778,9717,-0.95298,1,HGLibB_38234;,1.2151;
CCDC43,0.42425,0.62526,1,13027,-0.95198,1,HGLibB_07780;,1.0473;
C5orf46,0.50444,0.68061,1,14183,-0.95112,1,HGLibB_06385;,0.67088;
MAML2,0.3121,0.50189,0.992885,10705,-0.94892,2,HGLibA_28046;HGLibB_28005;,1.5622;0.34984;
CLDN4,0.98993,0.98997,1,20451,-0.94815,0,,
ELMOD1,0.99653,0.99591,1,20608,-0.94301,0,,
ZBTB24,0.98439,0.9841,1,20334,-0.94293,1,HGLibA_54848;,0.040468;
TOP3A,0.96734,0.96921,1,19931,-0.93863,1,HGLibB_50937;,0.092788;
FEM1B,0.25905,0.44029,0.981816,9580,-0.93857,1,HGLibA_17275;,1.2003;
P4HB,0.99996,0.99993,1,20697,-0.93816,0,,
HIST1H3G,0.98617,0.98655,1,20375,-0.93465,1,HGLibB_21446;,0.036508;
ARHGEF40,0.56579,0.71249,1,14942,-0.93126,1,HGLibB_02865;,0.83021;
INTS9,0.10298,0.22867,0.913945,5249,-0.92615,2,HGLibB_23403;HGLibA_23437;,0.92255;0.68512;
KLF2,0.99284,0.99278,1,20515,-0.92585,0,,
BDKRB2,0.70013,0.81112,1,16645,-0.92572,2,HGLibB_04381;HGLibA_04384;,0.30369;0.74123;
ICAM1,0.21412,0.39347,0.967145,8599,-0.92262,2,HGLibA_22494;HGLibB_22463;,2.1786;0.36789;
RPL15,0.99256,0.99238,1,20503,-0.92131,0,,
GPR37L1,0.88613,0.90249,1,18570,-0.9187,1,HGLibB_20007;,0.63754;
IGF2BP2,0.35208,0.54513,1,11563,-0.9184,1,HGLibB_22772;,0.56992;
TP53AIP1,0.4419,0.64453,1,13375,-0.91385,2,HGLibA_51051;HGLibB_50987;,0.46424;0.32454;
AKT1S1,0.85453,0.88996,1,18237,-0.91241,1,HGLibB_01505;,0.39762;
FAM104A,0.96076,0.9591,1,19810,-0.91073,1,HGLibB_15965;,0.1106;
TRPT1,0.73455,0.83149,1,17114,-0.90994,1,HGLibA_51779;,0.51678;
KCNG4,0.10445,0.23531,0.913945,5294,-0.90683,2,HGLibA_24208;HGLibB_24174;,1.4878;0.22615;
ABCA4,0.99643,0.99566,1,20605,-0.90598,0,,
CACNB3,0.82642,0.87788,1,17984,-0.89858,1,HGLibA_06922;,0.63802;
SLC25A3,0.98482,0.98427,1,20345,-0.89567,2,HGLibB_44647;HGLibA_44699;,0.045264;0.0067757;
NBL1,0.91133,0.91084,1,18884,-0.89293,0,,
PLEKHA6,0.85069,0.88694,1,18206,-0.8896,1,HGLibA_37078;,0.66267;
RBM47,0.50916,0.68198,1,14252,-0.87996,2,HGLibA_40567;HGLibB_40515;,0.71019;0.21495;
NUP205,0.988,0.98857,1,20412,-0.87989,1,HGLibA_33036;,0.0074603;
MLLT4,0.49718,0.6751,1,14098,-0.87783,2,HGLibA_29420;HGLibB_29380;,0.2552;0.24527;
CILP,0.40925,0.60738,1,12724,-0.87477,2,HGLibA_09708;HGLibB_09700;,1.3799;0.1304;
TUBB3,0.99884,0.99845,1,20670,-0.87102,0,,
BMF,0.95083,0.94691,1,19595,-0.86992,1,HGLibB_04582;,0.33405;
ZNF274,0.96181,0.96074,1,19830,-0.86725,1,HGLibA_55712;,0.23335;
NUCB2,0.16331,0.31954,0.925628,7381,-0.86488,2,HGLibA_32914;HGLibB_32869;,1.4382;0.63087;
CDH22,0.99918,0.99878,1,20680,-0.86325,0,,
PCDHA2,0.75873,0.75925,1,17451,-0.86225,1,HGLibA_35440;,0.023542;
DYSF,0.60852,0.73956,1,15459,-0.85914,2,HGLibA_14286;HGLibA_14285;,0.71996;0.19341;
MAPK4,0.98469,0.9841,1,20341,-0.85727,2,HGLibB_28232;HGLibA_28273;,0.03579;0.03025;
DHRS2,0.056336,0.15151,0.913945,3413,-0.85683,2,HGLibA_13131;HGLibB_13113;,1.3248;0.67158;
MAP2K7,0.90324,0.91014,1,18777,-0.8565,1,HGLibA_28158;,0.21587;
EPO,0.43386,0.64071,1,13218,-0.85636,2,HGLibB_15328;HGLibA_15351;,0.53829;0.034076;
RCC2,0.96769,0.96921,1,19941,-0.85589,1,HGLibB_40636;,0.080965;
TMEM56,0.32153,0.50765,0.993468,10911,-0.85037,2,HGLibB_50390;HGLibA_50450;,0.25636;0.52582;
TCF20,0.62859,0.75217,1,15720,-0.84776,2,HGLibA_48769;HGLibB_48710;,0.94616;0.3967;
NEUROG2,0.55382,0.70559,1,14775,-0.847,2,HGLibA_31748;HGLibB_31705;,1.0785;0.50178;
OR51V1,0.24377,0.42119,0.967145,9238,-0.84687,1,HGLibB_34091;,1.0163;
RPL41,0.75583,0.77172,1,17413,-0.84575,1,HGLibB_41932;,1.859;
C1orf141,0.993,0.99287,1,20518,-0.84515,0,,
ROBO1,0.50513,0.68061,1,14194,-0.84273,2,HGLibB_41680;HGLibB_41681;,0.39015;0.29916;
POLH,0.95088,0.94742,1,19597,-0.83737,2,HGLibB_37478;HGLibB_37480;,0.2426;0.54664;
NKAIN1,0.4524,0.65512,1,13553,-0.8314,2,HGLibA_31990;HGLibB_31947;,1.6311;0.015531;
CHMP4C,0.050712,0.14361,0.913945,3170,-0.83036,2,HGLibA_09494;HGLibB_09484;,1.4398;0.93294;
PTGDR2,0.15832,0.31319,0.923883,7200,-0.82925,2,HGLibB_39258;HGLibA_39307;,0.71724;1.0791;
TUT1,0.7986,0.86876,1,17774,-0.82852,2,HGLibB_52290;HGLibB_52288;,0.60691;0.11805;
SLC17A4,0.67517,0.78979,1,16300,-0.82757,1,HGLibB_44415;,0.70472;
TMEM110,0.65853,0.77652,1,16094,-0.82558,1,HGLibB_49814;,0.85958;
ARHGDIG,0.91302,0.91414,1,18905,-0.82456,1,HGLibB_02799;,0.52231;
TBC1D3H,0.78454,0.75816,1,17667,-0.82429,0,,
WLS,0.68043,0.79704,1,16369,-0.82382,1,HGLibB_54264;,0.3382;
MYH10,0.33547,0.52515,0.997132,11218,-0.82297,2,HGLibB_30663;HGLibB_30665;,0.74685;0.88066;
ULK4,0.6287,0.75217,1,15724,-0.81801,2,HGLibB_52910;HGLibA_52974;,0.65787;0.27209;
ZNF813,0.73501,0.73332,1,17120,-0.81627,1,HGLibA_56806;,0.57108;
C1orf86,0.69102,0.80548,1,16526,-0.81606,2,HGLibA_05901;HGLibA_05899;,0.47753;0.5543;
TRIM74,0.19141,0.29041,0.918927,8124,-0.81585,1,HGLibA_51609;,1.0933;
XAF1,0.26338,0.44675,0.983426,9674,-0.8143,2,HGLibA_54462;HGLibB_54397;,1.3655;0.19771;
SPPL2C,0.87786,0.89849,1,18472,-0.8132,1,HGLibA_46781;,0.56617;
SCP2,0.58711,0.72689,1,15199,-0.81275,2,HGLibA_43034;HGLibB_42980;,0.88096;0.50151;
SUZ12,0.016987,0.059685,0.883808,1342,-0.8121,2,HGLibB_47813;HGLibA_47872;,1.6795;0.056305;
