id,lfc,pvalue
CHML,-0.86736,0.028575
TFF1,-0.76187,0.030275
GAGE2A,-1.1445,0.048722
USP51,-0.78884,0.044402
C19orf47,-0.78374,0.049304
BCDIN3D,-0.78434,0.030441
SPOCK1,-0.89692,0.0020222
ARHGEF40,-0.73693,0.023064
PGBD2,-1.0269,0.012611
THAP6,-0.70234,0.012626
HS3ST3B1,-0.9676,0.038714
FUT1,-0.97921,0.015595
C7orf73,-0.99424,0.01756
SURF6,-0.87885,0.013174
GFRA1,-0.78155,0.02771
ZNF48,-1.0479,0.030081
ILF3,-0.73186,0.03033
GAS1,-0.72711,0.023833
A4GNT,-0.83438,0.025041
TIMD4,-0.77947,0.025943
CRH,-1.0667,0.022895
MSMP,-0.71612,0.015437
RPLP1,-0.72239,0.029404
RSRC1,-0.9431,0.025977
SLITRK4,-0.839,0.023833
SPATA13,-0.75982,0.035669
LIX1,-1.2408,0.0030449
IL1RAP,-0.7551,0.023402
RPS9,-1.2589,0.041884
TAF7L,-0.74453,0.043725
OSBP,-0.77771,0.047653
PHF17,-0.98695,0.035669
COG2,-1.0497,0.029475
TGFB1I1,-1.2118,0.044905
MUC6,-1.0001,0.0412
POLH,-1.1427,0.002458
URB1,-0.81371,0.04509
PRR5-ARHGAP8,-1.1532,0.037046
KRTAP9-1,-0.71917,0.049086
MT3,-0.86096,0.039189
CAMKMT,-0.88275,0.016904
E4F1,-0.8123,0.043647
INMT,-0.75782,0.011811
NPAS4,-0.80828,0.025443
HPCA,-0.70831,0.04815
EML6,-0.81803,0.04006
CDKN1A,-0.79657,0.038044
OR1I1,-0.77619,0.023028
HSPBP1,-0.74897,0.048235
PSMB2,-0.95416,0.025443
CNTD2,-0.79437,0.043229
C17orf50,-0.82804,0.030275
ITGAM,-0.81626,0.014336
TCF20,-0.70861,0.026959
RAB3C,-0.87784,0.022958
WDR24,-0.83664,0.015219
PNMA3,-0.72344,0.015556
NEDD8,-1.0453,0.030275
CACNB3,-1.0641,0.013142
PSMD14,-1.2542,0.011505
C16orf86,-0.74387,0.038159
IGF2BP2,-0.78827,0.039992
COL18A1,-0.82604,0.044638
BTNL9,-0.77918,0.013769
CREB3L2,-0.82665,0.016472
FAM120C,-0.8846,0.0043395
RPL13,-4.1066,0.0020528
CD27,-0.85455,0.025625
COX6A2,-0.94127,0.00062129
LRRC3C,-0.89876,0.040756
LDLRAP1,-0.8607,0.023401
HIST1H2BH,-1.0185,0.0025465
BDKRB2,-1.0901,0.048235
MLLT4,-0.82444,0.028679
SAMD4B,-0.73315,0.037582
ITGA7,-0.76717,0.0036865
TBC1D15,-0.85171,0.022895
ATP5J2-PTCD1,-0.71322,0.041675
SLC35B4,-0.96815,0.025943
EFCAB1,-1.2249,0.035669
DGKA,-0.76384,0.023345
MRPL28,-0.70126,0.030227
EME1,-0.81802,0.016659
MECOM,-0.90073,0.023401
SET,-0.70133,0.040756
NUP93,-0.73902,0.016659
TTN,-0.98248,0.0015714
CORIN,-0.85942,0.0003621
RGS9BP,-0.8042,0.011505
MINOS1,-1.1575,0.037258
PCDHA2,-0.89689,0.022544
PHKB,-0.7808,0.015687
ZNF599,-0.87535,0.030227
IGFBP1,-0.9903,0.025625
EN2,-0.89902,0.0025465
BAALC,-0.91012,0.013556
UBE2Z,-0.75238,0.017387
OR10W1,-0.73887,0.04448
SKIV2L,-0.84573,0.04509
UTF1,-0.90633,0.015708
ARHGAP6,-0.8094,0.014518
PARK7,-0.74216,0.011669
COQ7,-0.81734,0.0045535
RPS19BP1,-0.87552,0.039275
GNB5,-0.92363,0.039992
HSP90AB1,-0.95121,0.023247
NR1H2,-0.82853,0.010221
GPN2,-1.0652,0.0026743
RNF8,-0.95625,0.041734
RPL13A,-1.5919,0.011435
DLG2,-0.78503,0.023871
EIF4A3,-1.0175,0.030441
C4orf51,-1.028,0.013175
SETD4,-0.7358,0.011658
FAM194B,-0.81424,0.022958
DYNC1H1,-0.96356,0.030331
KLHL20,-0.73944,0.035669
LTB4R,-0.8765,0.045641
ZNF584,-0.92555,0.017387
PSMF1,-0.76407,0.015818
SIGLEC11,-0.83842,0.011377
USO1,-0.95989,0.025625
LOC100130539,-0.76426,0.02679
ZDHHC3,-0.95937,0.024393
HBQ1,-0.73771,0.026959
PPP3CA,-0.73807,0.022895
FAM104A,-0.72964,0.017387
BACH1,-0.91097,0.017307
ULK4,-0.94026,0.048235
JUN,-0.82236,0.045642
CCDC160,-0.89205,0.029981
PALB2,-0.9463,0.030081
SPIC,-0.93051,0.017473
SCAF4,-0.7384,0.01341
IL1RAPL2,-0.71319,0.015818
MS4A3,-0.90066,0.042987
ALG6,-0.89619,0.013392
DES,-0.80299,0.026021
OR10A3,-0.93136,0.027092
MGEA5,-1.0377,0.0013624
VPS11,-0.77676,0.048236
EXOSC3,-0.76071,0.044812
NFATC2IP,-0.97896,0.015305
ABCA4,-1.21,0.011492
CENPT,-0.80686,0.041884
ARMCX5-GPRASP2,-0.72486,0.012611
RPL9,-0.75205,0.013632
PARP2,-0.81992,0.048235
BCKDK,-0.78039,0.011658
NME6,-0.79279,0.025943
SIN3B,-2.0267,0.00037533
MOB3C,-1.2245,0.01447
SH2D6,-0.95413,0.013668
KIT,-0.71043,0.00060806
MAP2K7,-0.84655,0.025943
RPL32,-2.3781,0.00029365
ACTR1A,-0.78023,0.030081
HSPA13,-0.89131,0.026959
RAD54L,-0.73103,0.012713
BAG4,-0.91163,0.013633
MARCKSL1,-1.4135,0.023402
ZMYND12,-0.79838,0.025943
AURKA,-0.79105,0.024951
PSMD9,-0.7705,0.036597
SIX1,-0.76157,0.016691
RPLP2,-1.0484,0.023401
PTK6,-0.98153,0.015085
PIWIL2,-0.74316,0.040886
PSMB5,-0.91508,0.044737
SPANXC,-0.72242,0.035897
HTRA3,-1.5987,3.22E-05
CATSPERG,-1.1078,0.03033
UQCRB,-0.90029,0.02482
TP53TG3B,-0.76326,0.031896
SYTL3,-0.79125,0.030275
C1orf53,-1.0194,0.037103
CAPZB,-0.957,0.046392
H2AFX,-0.88368,0.015687
TUBB3,-0.7367,0.012601
TEX2,-0.95864,0.036389
CCNT2,-0.89636,0.022958
IFI16,-1.1601,0.047855
SPTBN5,-0.70174,0.036596
VPS53,-0.86058,0.043229
VWA5B2,-0.73512,0.02679
PSMD2,-1.1712,0.00045108
EPO,-0.72403,0.028629
CCDC144A,-0.88992,0.029475
ECM1,-0.78769,0.022958
ANXA8L2,-2.0928,0.035618
DEFB105B,-0.83957,0.018986
DTX1,-0.70405,0.036389
LRTM2,-0.8107,0.04006
CDKN1B,-0.78531,0.03671
PRAMEF21,-0.70312,0.025843
ROPN1,-0.74226,0.03033
COX6B1,-2.0085,0.025943
HPRT1,-1.0345,0.022958
RNF122,-0.82147,0.016629
PRSS22,-0.85917,0.041055
TGM1,-0.8567,0.027092
POTEF,-1.7459,0.023311
RANBP2,-1.4718,0.028661
PPIAL4C,-1.6862,0.013977
GPX7,-0.84709,0.016064
SPATA3,-1.0868,0.013211
CTXN3,-0.88024,0.017364
HTRA2,-0.74241,0.030081
C1QTNF9B,-1.0111,0.019171
NIM1,-0.89676,0.026216
AGAP9,-1.9977,0.01559
AARS2,-0.78689,0.010484
EXOSC10,-1.0911,0.0024174
TBC1D28,-1.0204,0.017276
TMEM141,-1.1825,0.048436
SLC1A7,-0.71344,0.013787
OPTN,-0.92306,0.016629
RPL3,-1.3282,0.025625
PPCS,-1.0829,0.029309
BLVRB,-0.83103,0.0044805
PCDHGB6,-1.2479,0.0091099
RPL41,-1.1088,0.015549
OR5H2,-0.73718,0.011435
ACTB,-0.9086,0.016629
RPL15,-1.8844,0.016629
LLGL2,-0.74139,0.016063
RENBP,-0.96774,0.015869
POM121L2,-0.99597,0.015818
PRKAB1,-0.7075,0.011595
KRT37,-0.70769,0.015305
CDK9,-0.92777,0.013633
TBR1,-1.1349,0.013486
UBE2E1,-1.0237,0.0018287
LGALS1,-0.79643,0.013411
PDZK1IP1,-0.7235,0.011435
PSMA5,-1.0218,0.011669
RSL24D1,-1.1884,0.011637
VSX2,-0.83207,0.011568
APCDD1L,-0.97121,0.011504
ERCC2,-0.95764,0.0030444
RPL19,-1.2573,0.0020875
PSMD3,-1.2536,0.0008887
CYP11A1,-0.75934,0.0013948
PLTP,-1.8275,0.00058981
PSTPIP1,-0.82928,0.00094346
ATP6V0C,-1.7689,0.00036484
GRM8,-0.80865,0.00029365
